DeviceTag:,Xsens DOT 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-23 17:35:07.557 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1, 125906518, 0.98919016, 0.01876814, 0.14497149, -0.011570242
2, 125923185, 0.9893442, 0.015054446, 0.14429645, -0.012255041
3, 125939852, 0.9896834, 0.012486197, 0.14215228, -0.012798607
4, 125956519, 0.99006706, 0.011434997, 0.13951923, -0.013069031
5, 125973186, 0.9902153, 0.011372773, 0.13847515, -0.013012184
6, 125989853, 0.99016625, 0.011485147, 0.13882343, -0.012927167
7, 126006520, 0.9901041, 0.011505341, 0.13926935, -0.012868751
8, 126023187, 0.99004674, 0.011504315, 0.13967748, -0.012860984
9, 126039854, 0.9899874, 0.011767092, 0.14008254, -0.012792159
10, 126056521, 0.98994434, 0.012119593, 0.14035785, -0.012769971
11, 126073188, 0.98992556, 0.01220556, 0.14047816, -0.01282533
12, 126089855, 0.9898825, 0.012053426, 0.14077786, -0.012995472
13, 126106522, 0.9898065, 0.012040473, 0.14130507, -0.013081548
14, 126123189, 0.98972565, 0.012095787, 0.14187114, -0.013023321
15, 126139856, 0.98969823, 0.012075165, 0.14207117, -0.01294036
16, 126156523, 0.9897195, 0.01208385, 0.14191842, -0.012982796
17, 126173190, 0.98975575, 0.012112799, 0.14169472, -0.012626425
18, 126189857, 0.9897824, 0.012131365, 0.1415454, -0.0121895345
19, 126206524, 0.98979473, 0.0120834485, 0.14144881, -0.012361487
20, 126223191, 0.9897787, 0.011875146, 0.14159456, -0.012179005
21, 126239858, 0.98972887, 0.011749021, 0.14196365, -0.012040634
22, 126256525, 0.9897008, 0.011668079, 0.14218555, -0.011809752
23, 126273192, 0.9896886, 0.011541433, 0.14228188, -0.01180017
24, 126289859, 0.98968595, 0.011356311, 0.14229567, -0.012028098
25, 126306526, 0.9896793, 0.011152583, 0.14238071, -0.011758422
26, 126323193, 0.98964405, 0.011136389, 0.14257246, -0.012398944
27, 126339860, 0.98960036, 0.010935781, 0.14290676, -0.012218448
28, 126356527, 0.9895229, 0.010697319, 0.14341067, -0.0127857225
29, 126373194, 0.98942375, 0.010331162, 0.14408669, -0.013159837
30, 126389861, 0.98936164, 0.0100437, 0.14446776, -0.013859092
31, 126406528, 0.98940533, 0.009712964, 0.14420395, -0.013718389
32, 126423195, 0.9895275, 0.009470569, 0.14330779, -0.014439545
33, 126439862, 0.9896706, 0.009022572, 0.14234647, -0.014435316
34, 126456529, 0.9897484, 0.008613098, 0.14184538, -0.014276802
35, 126473196, 0.98974574, 0.008353199, 0.14186148, -0.014455498
36, 126489863, 0.98974055, 0.008001118, 0.1419702, -0.013935077
37, 126506530, 0.98975337, 0.00773454, 0.14185451, -0.014351232
38, 126523197, 0.9897697, 0.007353967, 0.14180094, -0.013945819
39, 126539864, 0.989725, 0.007196578, 0.14206778, -0.014473495
40, 126556531, 0.98965394, 0.007031644, 0.14254504, -0.014719464
41, 126573198, 0.9896055, 0.006813254, 0.14289227, -0.014716743
42, 126589865, 0.9895835, 0.006683522, 0.14297023, -0.015467469
43, 126606532, 0.98955745, 0.006460573, 0.14313348, -0.015722403
44, 126623199, 0.989493, 0.006426465, 0.14343446, -0.016996624
45, 126639866, 0.98947126, 0.00595251, 0.14377359, -0.015507278
46, 126656533, 0.9894537, 0.0054476405, 0.14404503, -0.014237759
47, 126673200, 0.9893991, 0.0052068555, 0.1443273, -0.0152323805
48, 126689867, 0.9893895, 0.0047270986, 0.14451969, -0.014143129
