DeviceTag:,Xsens DOT 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-23 17:35:07.556 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1, 259735431, 0.976267, -0.050411683, 0.04858847, 0.20494056
2, 259752098, 0.97656983, -0.04903968, 0.04356382, 0.20496021
3, 259768765, 0.97683287, -0.046520866, 0.039768856, 0.20506562
4, 259785432, 0.9768843, -0.04450165, 0.039873898, 0.20524834
5, 259802099, 0.9768761, -0.04340119, 0.04114645, 0.20527232
6, 259818766, 0.97684485, -0.042695276, 0.042655528, 0.2052602
7, 259835433, 0.9768237, -0.042319454, 0.043958265, 0.20516433
8, 259852100, 0.9768105, -0.041787192, 0.044770163, 0.20516112
9, 259868767, 0.97678554, -0.040983986, 0.045360964, 0.20531216
10, 259885434, 0.9767407, -0.04038888, 0.045841064, 0.20553575
11, 259902101, 0.9766362, -0.04012935, 0.046833474, 0.20585895
12, 259918768, 0.97651094, -0.040148504, 0.048037942, 0.2061721
13, 259935435, 0.97641253, -0.03998388, 0.04895571, 0.20645379
14, 259952102, 0.9763787, -0.039750133, 0.04937263, 0.2065603
15, 259968769, 0.97638303, -0.039623797, 0.049234923, 0.20659658
16, 259985436, 0.97643656, -0.03956239, 0.048757188, 0.20646852
17, 260002103, 0.9764952, -0.039341293, 0.04812333, 0.20638265
18, 260018770, 0.976585, -0.039171137, 0.04793814, 0.2060324
19, 260035437, 0.9764706, -0.03923655, 0.048208337, 0.20649865
20, 260052104, 0.9763736, -0.039464008, 0.048606683, 0.20682013
21, 260068771, 0.9763453, -0.039534565, 0.048648234, 0.20693056
22, 260085438, 0.9763275, -0.03956052, 0.048452195, 0.20705584
23, 260102105, 0.97638345, -0.039666113, 0.04836343, 0.20679255
24, 260118772, 0.97637814, -0.03989052, 0.048479576, 0.20674711
25, 260135439, 0.97638017, -0.04001009, 0.04859008, 0.20668824
26, 260152106, 0.9764834, -0.040022567, 0.048601415, 0.20619515
27, 260168773, 0.9763763, -0.04011451, 0.048694752, 0.20666221
28, 260185440, 0.9762725, -0.04030607, 0.049178865, 0.20700003
29, 260202107, 0.97623205, -0.040500186, 0.049411565, 0.20709698
30, 260218774, 0.97629523, -0.040476516, 0.048812624, 0.20694613
31, 260235441, 0.97627604, -0.040526476, 0.04792134, 0.20723493
32, 260252108, 0.976205, -0.040805895, 0.04730968, 0.20765509
33, 260268775, 0.9761779, -0.041318156, 0.047050014, 0.2077403
34, 260285442, 0.97618216, -0.04177463, 0.04676069, 0.20769362
35, 260302109, 0.9762323, -0.042066287, 0.046316326, 0.20749842
36, 260318776, 0.9762194, -0.04242306, 0.0460104, 0.20755483
37, 260335443, 0.9762857, -0.04276813, 0.046034068, 0.20716695
38, 260352110, 0.9762342, -0.04313524, 0.046310354, 0.20727202
39, 260368777, 0.9762533, -0.04329887, 0.046444584, 0.20711793
40, 260385444, 0.9763127, -0.043403927, 0.046593934, 0.20678161
41, 260402111, 0.9762406, -0.043522496, 0.04668881, 0.20707572
42, 260418778, 0.9761734, -0.043622896, 0.046860043, 0.20733267
43, 260435445, 0.97611654, -0.043667097, 0.046875376, 0.207587
44, 260452112, 0.97614586, -0.043672565, 0.046873406, 0.20744917
45, 260468779, 0.9757598, -0.043864783, 0.047026828, 0.20918313
46, 260485446, 0.9755427, -0.04413469, 0.04739755, 0.21005252
47, 260502113, 0.97569096, -0.044395402, 0.047690786, 0.20924088
48, 260518780, 0.97546285, -0.044655338, 0.04740862, 0.21031106
49, 260535447, 0.97594684, -0.044575296, 0.046782766, 0.20821266
50, 260552114, 0.9758563, -0.04462169, 0.045993958, 0.2088013
51, 260568781, 0.9760722, -0.04461883, 0.04563148, 0.20787066
52, 260585448, 0.9756821, -0.044865664, 0.045608867, 0.20964608
53, 260602115, 0.9758442, -0.044967104, 0.045790635, 0.20882839
54, 260618782, 0.97574276, -0.045002576, 0.045690816, 0.20931648
55, 260635449, 0.9756775, -0.044883206, 0.04545865, 0.20969634
56, 260652116, 0.9757189, -0.044746354, 0.04539439, 0.20954695
57, 260668783, 0.97566754, -0.044680323, 0.045479346, 0.20978166
58, 260685450, 0.9757786, -0.044514243, 0.04559379, 0.20927496
