DeviceTag:,Xsens DOT 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-11 15:42:21.284 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1, 290050260, 0.99565136, 0.07969095, 0.047903106, -0.0057322774
2, 290066927, 0.9957324, 0.07886203, 0.047629237, -0.005407875
3, 290083594, 0.99577534, 0.07861024, 0.04715118, -0.0053672213
4, 290100261, 0.9957728, 0.07861955, 0.0471891, -0.005359692
5, 290116928, 0.9957394, 0.07897814, 0.047304258, -0.0052950145
6, 290133595, 0.99572754, 0.079178356, 0.047210213, -0.0053569484
7, 290150262, 0.9957298, 0.07924711, 0.04706645, -0.005188825
8, 290166929, 0.9957225, 0.0794341, 0.046943147, -0.004852569
9, 290183596, 0.99571025, 0.07965468, 0.046827387, -0.0048490874
10, 290200263, 0.99571294, 0.079719655, 0.04668565, -0.0045870747
11, 290216930, 0.9957188, 0.079747126, 0.04651433, -0.0045711272
12, 290233597, 0.99573934, 0.0795433, 0.04643988, -0.0044172825
13, 290250264, 0.99576, 0.07929178, 0.04643836, -0.0043115914
14, 290266931, 0.99575734, 0.07934662, 0.046418037, -0.004114821
15, 290283598, 0.99572724, 0.07983085, 0.04621431, -0.0043491516
16, 290300265, 0.9957012, 0.08027089, 0.04603816, -0.0040231594
17, 290316932, 0.9956951, 0.08040022, 0.045970082, -0.0037420527
18, 290333599, 0.9957061, 0.08029837, 0.04585993, -0.004312325
19, 290350266, 0.9957202, 0.08020691, 0.045687407, -0.004582505
20, 290366933, 0.99571127, 0.08044406, 0.045489766, -0.0043224655
21, 290383600, 0.9956875, 0.08087018, 0.045265634, -0.0041994075
22, 290400267, 0.9956631, 0.08128389, 0.045056436, -0.0042357123
23, 290416934, 0.99564683, 0.08159068, 0.044833574, -0.004526221
24, 290433601, 0.99564815, 0.08163834, 0.044697467, -0.004693458
25, 290450268, 0.9956461, 0.08173737, 0.044567883, -0.00465827
26, 290466935, 0.9956315, 0.08199115, 0.04440949, -0.0048225466
27, 290483602, 0.99561846, 0.08220909, 0.044299796, -0.004814585
28, 290500269, 0.9956235, 0.08218967, 0.044235162, -0.004685135
29, 290516936, 0.9956307, 0.08209458, 0.044266135, -0.004537624
30, 290533603, 0.99561983, 0.082205586, 0.04432146, -0.0043715895
31, 290550270, 0.9955784, 0.08269343, 0.0443473, -0.0043562017
32, 290566937, 0.9955288, 0.08329137, 0.04434356, -0.0043144217
33, 290583604, 0.9954908, 0.08372131, 0.044391938, -0.004288909
34, 290600271, 0.99546766, 0.083935395, 0.044516206, -0.004191484
35, 290616938, 0.9954515, 0.084059194, 0.044653594, -0.0040589864
36, 290633605, 0.9954216, 0.084422454, 0.044645615, -0.003944327
37, 290650272, 0.9953719, 0.085018635, 0.044599753, -0.0041921223
38, 290666939, 0.9953444, 0.08532212, 0.044624425, -0.0042921742
39, 290683606, 0.9953452, 0.085276715, 0.044695392, -0.004290174
40, 290700273, 0.9953552, 0.08516632, 0.044681784, -0.004276374
41, 290716940, 0.99534965, 0.08529015, 0.04456667, -0.004330875
42, 290733607, 0.995329, 0.08556907, 0.044504434, -0.0041938797
43, 290750274, 0.9953193, 0.085687876, 0.044506274, -0.0040473123
44, 290766941, 0.99532336, 0.08568531, 0.044436544, -0.0038638483
45, 290783608, 0.99531764, 0.08581516, 0.044298306, -0.0040398194
46, 290800275, 0.99531984, 0.08585075, 0.04416003, -0.004252463
47, 290816942, 0.9953364, 0.08568525, 0.044121675, -0.004115128
48, 290833609, 0.9953643, 0.08542148, 0.04401962, -0.003952612
49, 290850276, 0.99537, 0.08543094, 0.043853015, -0.0041555446
50, 290866943, 0.9953683, 0.08550541, 0.043729696, -0.004310427
51, 290883610, 0.9953752, 0.08546208, 0.043649416, -0.004389613
52, 290900277, 0.995377, 0.085495904, 0.043496735, -0.0048164506
53, 290916944, 0.9953824, 0.0854913, 0.04336031, -0.005001477
54, 290933611, 0.9953938, 0.08539062, 0.04329184, -0.0050474703
55, 290950278, 0.9954084, 0.08523811, 0.043252006, -0.005100017
56, 290966945, 0.9954069, 0.0852936, 0.043160625, -0.0052327
57, 290983612, 0.9954037, 0.08536478, 0.043092407, -0.0052400734
58, 291000279, 0.9954087, 0.08527061, 0.043115087, -0.0056251897
59, 291016946, 0.9954206, 0.08508228, 0.04321667, -0.005600123
60, 291033613, 0.9954021, 0.085312665, 0.043184984, -0.0056194165
61, 291050280, 0.99537426, 0.08564778, 0.043181878, -0.0054760417
62, 291066947, 0.9953696, 0.08567699, 0.043243974, -0.005369048
63, 291083614, 0.995396, 0.08524993, 0.04349937, -0.005209761
64, 291100281, 0.99541885, 0.08487622, 0.043718435, -0.005115599
65, 291116948, 0.9954165, 0.08482923, 0.043861113, -0.0051430296
66, 291133615, 0.9954084, 0.08484941, 0.04398183, -0.0053194426
67, 291150282, 0.995402, 0.08481902, 0.04421182, -0.005106963
68, 291166949, 0.99540126, 0.084709145, 0.0444625, -0.004888194
69, 291183616, 0.995399, 0.08466214, 0.04460005, -0.004904961
70, 291200283, 0.99540585, 0.0845297, 0.044699967, -0.004888472
71, 291216950, 0.9954292, 0.08419685, 0.04482459, -0.0047417586
72, 291233617, 0.99544513, 0.08395314, 0.044969752, -0.0043392153
73, 291250284, 0.99544275, 0.0839767, 0.04499829, -0.0041026133
74, 291266951, 0.9954159, 0.08431919, 0.044958927, -0.0040233117
75, 291283618, 0.9954094, 0.08436402, 0.044998948, -0.004237484
76, 291300285, 0.9954305, 0.084048875, 0.045180093, -0.00358024
77, 291316952, 0.9954458, 0.0838547, 0.045214012, -0.0034714525
78, 291333619, 0.9954291, 0.08407445, 0.045161016, -0.0035933224
79, 291350286, 0.9953934, 0.08450598, 0.045127235, -0.0037727372
80, 291366953, 0.99537456, 0.08466309, 0.04522278, -0.004083933
81, 291383620, 0.99539447, 0.084359206, 0.045365024, -0.0039376677
82, 291400287, 0.9954275, 0.0839183, 0.045468036, -0.0038083245
83, 291416954, 0.99546885, 0.08335562, 0.04559804, -0.003814582
84, 291433621, 0.9955125, 0.082702145, 0.04584896, -0.0036399756
85, 291450288, 0.9955372, 0.08228678, 0.04608462, -0.0033352377
86, 291466955, 0.9955318, 0.08227499, 0.046235014, -0.0031187616
87, 291483622, 0.9955024, 0.08255516, 0.04639931, -0.0026211278
88, 291500289, 0.99546766, 0.082862146, 0.04658955, -0.0027387086
89, 291516956, 0.99544585, 0.08298818, 0.04684953, -0.0024512275
90, 291533623, 0.9954351, 0.08298736, 0.04706368, -0.0026634652
91, 291550290, 0.99543273, 0.082899675, 0.04725764, -0.0028741923
92, 291566957, 0.99543625, 0.08269285, 0.047527734, -0.0031224852
93, 291583624, 0.9954312, 0.082581475, 0.04782305, -0.0032086188
94, 291600291, 0.99540466, 0.08278916, 0.048001513, -0.0033892924
95, 291616958, 0.99537206, 0.083107896, 0.048109945, -0.0036185912
96, 291633625, 0.9953607, 0.08315577, 0.048259806, -0.0036627005
97, 291650292, 0.99536234, 0.08299543, 0.048519015, -0.0034042506
98, 291666959, 0.9953718, 0.082701094, 0.04885131, -0.0030489536
