DeviceTag:,Xsens DOT 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-03 16:00:48.802 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 91118492, 0.8037853, -0.07765214, -0.09595548, 0.5819723, -0.04025781, -0.11322127, 0.052866936
2, 91135159, 0.80367184, -0.07814959, -0.09487325, 0.5822401, 0.09326218, -0.08803628, 0.087135315
3, 91151826, 0.8035099, -0.07902887, -0.09436635, 0.5824272, -0.03317016, 0.053839575, 0.009301186
4, 91168493, 0.8034465, -0.07915557, -0.09409491, 0.5825414, -0.10649068, 0.013048295, -0.045324326
5, 91185160, 0.8034176, -0.07902112, -0.093708664, 0.5826616, 3.1878534E-4, -0.089445695, 0.035456657
6, 91201827, 0.8034179, -0.07891953, -0.093285404, 0.5827431, 0.11633782, -0.06918223, 0.14546585
7, 91218494, 0.8034203, -0.07889795, -0.09302225, 0.5827845, 0.06380731, 0.02622701, 0.03170204
8, 91235161, 0.8034009, -0.07880482, -0.09279921, 0.58285934, -0.08394018, 0.08022506, -0.12824154
9, 91251828, 0.8033503, -0.07874677, -0.092599735, 0.58296883, -0.007963487, 0.030928047, -0.093440056
10, 91268495, 0.80328524, -0.07848024, -0.09235923, 0.58313257, 0.091232516, -0.09386488, 0.08392334
11, 91285162, 0.8031845, -0.078338645, -0.09215966, 0.5833219, 0.013808966, 0.023075366, -0.025405884
12, 91301829, 0.8030594, -0.07843441, -0.09205758, 0.5834973, 0.019222785, 0.052813485, -0.15629292
13, 91318496, 0.80292195, -0.078452796, -0.091911584, 0.58370703, 0.02508402, -0.0065958113, -0.145648
