DeviceTag:,Xsens DOT 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-03 16:00:48.801 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 59566054, 0.69526607, -0.23597793, -0.27808747, 0.6193439, 0.02056878, 0.021344146, 0.18826294
2, 59582721, 0.69522136, -0.23593369, -0.27841824, 0.61926234, -0.027474437, -0.018389193, 0.050515175
3, 59599388, 0.6951728, -0.23606981, -0.27835748, 0.6192924, -0.1301811, -0.06382748, 0.039769173
4, 59616055, 0.69504416, -0.23609619, -0.27770928, 0.61971754, -0.02098496, -0.014203131, 0.13145256
5, 59632722, 0.69501936, -0.23600009, -0.2772217, 0.62000024, 0.012687266, 0.014096627, 0.18415165
6, 59649389, 0.6950101, -0.23610455, -0.27698582, 0.6200763, -0.0055981055, 0.02192405, 0.15058231
7, 59666056, 0.6950966, -0.23609182, -0.27666226, 0.6201287, 0.03277862, -0.07835526, 0.21305752
8, 59682723, 0.694966, -0.23616418, -0.27636635, 0.6203793, 0.04647706, -0.07028555, 0.13685417
9, 59699390, 0.69479066, -0.23629251, -0.27594188, 0.62071586, -0.020858228, 0.08456568, 0.033664703
10, 59716057, 0.6946706, -0.23649858, -0.27576053, 0.62085223, -0.12971474, 0.12847301, 0.01993084
11, 59732724, 0.69454235, -0.23691715, -0.27594674, 0.6207535, -0.1539564, 0.08598141, -0.0035543442
12, 59749391, 0.69443464, -0.23734333, -0.2760542, 0.6206633, -0.0039452272, -0.015361487, 0.11942577
13, 59766058, 0.6942637, -0.23760939, -0.2759432, 0.6208021, 0.06677271, -0.016235646, 0.14174366
14, 59782725, 0.6940616, -0.23788169, -0.27584282, 0.6209683, 0.052807618, 0.072701946, 0.019468307
15, 59799392, 0.6939934, -0.2382297, -0.27583092, 0.6209164, -0.1257932, 0.03642982, -0.040416718
16, 59816059, 0.6937817, -0.23856197, -0.2758605, 0.6210124, -0.010084011, 0.009362399, 0.10017204
17, 59832726, 0.69361097, -0.23885809, -0.2757027, 0.6211594, -0.023579499, 0.042287644, 0.21420574
18, 59849393, 0.6938567, -0.23902538, -0.27537116, 0.6209674, -0.08974638, 0.115292564, 0.12753296
19, 59866060, 0.69372016, -0.23899533, -0.27532953, 0.62115, -0.034705304, 0.038945455, -0.01012516
20, 59882727, 0.69362915, -0.2390868, -0.2754316, 0.6211712, 0.05342921, -0.13346092, 0.023564339
21, 59899394, 0.6933299, -0.23912278, -0.27540186, 0.62150455, 0.08962959, -0.091330186, 0.19162464
22, 59916061, 0.69276917, -0.23909666, -0.27538005, 0.62214917, 0.042409796, 0.08810389, 0.12523365
23, 59932728, 0.69266033, -0.23933583, -0.2753938, 0.6221722, -0.10676186, 0.027960464, 0.010514259
24, 59949395, 0.69245684, -0.23951922, -0.2755366, 0.6222651, -0.09533666, 0.037673444, 0.0038909912
25, 59966062, 0.69230825, -0.23942114, -0.2754024, 0.62252736, 0.0643543, 0.05366054, 0.20141125
26, 59982729, 0.6925166, -0.23937961, -0.27520972, 0.62239695, 0.07002638, 0.024372635, 0.15536499
27, 59999396, 0.69273245, -0.2395825, -0.2751924, 0.62208617, -0.11023145, 0.013108476, -0.023056984
28, 60016063, 0.69262415, -0.23985395, -0.2753496, 0.6220327, -0.022034131, -0.049408767, 0.03483963
29, 60032730, 0.69241405, -0.24011393, -0.27541015, 0.62213933, 0.115608275, -0.07817545, 0.13001347
30, 60049397, 0.6922487, -0.24026103, -0.27534944, 0.62229335, 0.034553315, 0.02519371, 0.08692932
31, 60066064, 0.6921347, -0.24041444, -0.27538228, 0.62234646, -0.11213925, 0.17750885, -0.0010442734
32, 60082731, 0.69221693, -0.24097332, -0.2756761, 0.6219088, -0.12345626, 0.08841178, -0.0038795471
33, 60099398, 0.69198203, -0.24163237, -0.27619895, 0.6216822, 0.04164136, -0.025166776, 0.1430769
34, 60116065, 0.6916904, -0.24209228, -0.27641115, 0.6217336, 0.10520509, -0.006308877, 0.24286366
35, 60132732, 0.6919048, -0.24213372, -0.2761833, 0.62158006, 0.0070674797, 0.117933705, 0.1943407
36, 60149399, 0.6921909, -0.241942, -0.27603424, 0.6214026, -0.011696209, 0.10053423, 0.113978386
37, 60166066, 0.69232893, -0.24154665, -0.27594936, 0.62144023, 0.035007715, 0.021570789, 0.13368797
38, 60182733, 0.6923427, -0.24084952, -0.27565387, 0.6218264, -0.075195685, 0.107669875, 0.11428833
39, 60199400, 0.6926449, -0.23976223, -0.27500695, 0.62219656, -0.043313794, 0.25875235, 0.107320786
40, 60216067, 0.6932634, -0.23891152, -0.27450275, 0.6220575, 0.056256425, 0.026249362, 0.018314362
41, 60232734, 0.6934822, -0.23809731, -0.27427277, 0.6222271, 0.13275306, -0.17117561, -0.049839973
42, 60249401, 0.69302475, -0.23739521, -0.2741268, 0.62306887, 0.09160232, -7.239585E-4, -0.0363245
43, 60266068, 0.6927841, -0.23726648, -0.27416793, 0.62336737, -0.010299253, 0.12053685, -0.046370506
44, 60282735, 0.6925876, -0.23782367, -0.2748407, 0.6230769, -0.10239654, 0.054773636, 0.046733856
45, 60299402, 0.6923465, -0.23863146, -0.27563545, 0.622685, 0.029741304, 0.03352672, 0.22261238
46, 60316069, 0.6920248, -0.23929179, -0.27611545, 0.6225767, 0.1521674, -7.743606E-4, 0.40642548
47, 60332736, 0.69180053, -0.23979421, -0.27639917, 0.6225065, 0.04304703, 0.03818551, 0.31684494
48, 60349403, 0.69158286, -0.2401777, -0.276611, 0.6225065, -0.017050462, 0.053643, 0.15260792
49, 60366070, 0.6915987, -0.24059415, -0.27661568, 0.6223259, 0.05096252, 0.059140746, 0.17121124
50, 60382737, 0.69123876, -0.24054699, -0.2765854, 0.6227575, 0.021963278, 0.012064447, 0.26207352
51, 60399404, 0.69125414, -0.24063167, -0.27631906, 0.6228257, -0.0843881, 0.04832987, 0.13346481
52, 60416071, 0.6901308, -0.24058954, -0.2766779, 0.6239277, -0.15742432, 0.16751045, -0.07316208
53, 60432738, 0.68946946, -0.24118377, -0.27718148, 0.6242056, -0.0767273, 0.16396463, -0.082261086
54, 60449405, 0.6889423, -0.2419122, -0.27774104, 0.62425715, 0.1035426, 0.119477175, 0.1068306
55, 60466072, 0.6886598, -0.24231684, -0.27797902, 0.62430614, 0.18353565, 0.11005152, 0.2763567
56, 60482739, 0.68936574, -0.24260437, -0.2776456, 0.623563, 0.10027037, 0.12727532, 0.27961636
57, 60499406, 0.68946993, -0.24246582, -0.27749315, 0.6235697, 0.0034684741, 0.013110935, 0.09602833
58, 60516073, 0.68889517, -0.24225315, -0.2776482, 0.62421817, -2.1032568E-4, 0.014945306, -0.080916405
59, 60532740, 0.68880177, -0.24225375, -0.27750984, 0.62438256, 0.12766176, 0.11633659, -0.0067443848
60, 60549407, 0.68863976, -0.24232487, -0.27757192, 0.624506, 0.06857221, 0.10185921, 0.017918587
61, 60566074, 0.68842393, -0.24250081, -0.27794176, 0.62451124, -0.042871684, 0.048675198, 0.006559372
62, 60582741, 0.6882855, -0.24304524, -0.27833688, 0.62427616, -0.03623771, 0.07118049, 0.11251545
63, 60599408, 0.688162, -0.24361007, -0.27860895, 0.62407094, 0.022627333, 0.07322229, 0.16993713
64, 60616075, 0.6880312, -0.2439039, -0.27874678, 0.62403864, 0.12131903, 0.04237895, 0.27178097
65, 60632742, 0.68797505, -0.24394195, -0.2788138, 0.6240558, 0.07350067, -0.009396262, 0.19008827
66, 60649409, 0.68818426, -0.2440525, -0.27868807, 0.62383795, -0.016006432, 0.006765849, 0.091189384
67, 60666076, 0.6882069, -0.24401705, -0.27852225, 0.623901, -0.018479604, 0.09167585, 0.045973778
68, 60682743, 0.68819225, -0.24396935, -0.27836317, 0.6240068, -0.024918566, 0.0818576, 0.050661087
69, 60699410, 0.68836105, -0.24389628, -0.27814752, 0.6239452, -0.006496851, 0.16224235, 0.138031
70, 60716077, 0.6887556, -0.24361579, -0.27783495, 0.6237587, -0.016760342, 0.16701928, 0.20625496
71, 60732744, 0.6894235, -0.24327669, -0.27762625, 0.62324595, 0.05577028, -0.02098306, 0.18109608
72, 60749411, 0.68999845, -0.2430778, -0.27726737, 0.62284696, 0.106110096, -0.107654124, 0.14610672
73, 60766078, 0.68989664, -0.24267699, -0.27696145, 0.623252, 0.12692742, -0.0285074, 0.06533623
74, 60782745, 0.6898309, -0.24259502, -0.2768501, 0.6234062, 0.08400086, 0.05454085, 0.02212429
75, 60799412, 0.68953496, -0.24282748, -0.2771503, 0.6235096, -0.027776513, 0.15611196, -0.008779526
76, 60816079, 0.68976766, -0.24352843, -0.2773346, 0.6228965, 0.01979632, 0.16943489, 0.09405041
77, 60832746, 0.68980426, -0.24392089, -0.2775983, 0.62258494, -0.0024172927, 0.026193483, 0.19371414
78, 60849413, 0.6897943, -0.2439616, -0.2777301, 0.62252134, 0.022404492, 0.12335624, 0.16542149
79, 60866080, 0.68995655, -0.244215, -0.2778141, 0.62220454, -0.0020261449, 0.08413933, 0.10704613
80, 60882747, 0.68993807, -0.24443027, -0.27794352, 0.62208253, 0.052828405, -0.017058397, 0.12233353
81, 60899414, 0.68990195, -0.24444996, -0.27786812, 0.62214863, 0.110649645, 0.07872383, 0.18409443
82, 60916081, 0.6898259, -0.24426807, -0.27778247, 0.6223427, -0.03129047, 0.16691512, 0.07509613
83, 60932748, 0.6897567, -0.24424337, -0.27792794, 0.62236404, -0.19361597, 0.22237863, -0.0071144104
84, 60949415, 0.6896817, -0.24443187, -0.27833712, 0.62219024, -0.014162898, 0.06605523, 0.048776627
85, 60966082, 0.6892845, -0.24434794, -0.2786979, 0.6225018, 0.1782261, -0.0071718604, 0.13230228
86, 60982749, 0.6893214, -0.24404763, -0.27840695, 0.62270904, 0.13339432, 0.14222442, 0.12650585
87, 60999416, 0.6895272, -0.24378704, -0.2782581, 0.62264967, 0.031357974, 0.06971179, -0.014638901
88, 61016083, 0.6894837, -0.24392578, -0.27866146, 0.6224633, -0.12152019, -0.012498956, -0.14588928
89, 61032750, 0.6889009, -0.24436359, -0.27936292, 0.62262243, 0.038206857, 0.02672645, 0.03861618
90, 61049417, 0.6883624, -0.24495909, -0.27994108, 0.6227241, 0.13827763, 0.087690614, 0.326025
91, 61066084, 0.6878316, -0.24546662, -0.28064027, 0.62279606, 0.022672707, 0.09556565, 0.29152012
92, 61082751, 0.6875635, -0.2461797, -0.2813431, 0.62249357, 0.0050011026, 0.06214923, 0.18612576
93, 61099418, 0.687157, -0.24674767, -0.2820119, 0.6224149, 0.12637848, -0.019873207, 0.21843338
94, 61116085, 0.6868477, -0.2471201, -0.28230205, 0.6224769, 0.07083349, 0.070203744, 0.2133112
95, 61132752, 0.6867276, -0.24744311, -0.28241163, 0.62243134, -0.11384688, 0.14236635, 0.08856678
96, 61149419, 0.6867036, -0.24792905, -0.2826609, 0.6221513, -0.15901941, 0.03576643, 0.021282196
97, 61166086, 0.6865138, -0.2484226, -0.28299332, 0.62201285, -0.004095204, -9.874803E-4, 0.12096691
98, 61182753, 0.6860657, -0.2486835, -0.283089, 0.6223595, 0.07711264, 0.13457716, 0.19314861
99, 61199420, 0.6860624, -0.24890183, -0.28296137, 0.62233365, -0.05236886, 0.13586536, 0.040732384
100, 61216087, 0.6859717, -0.24920829, -0.28312978, 0.6222344, -0.07871355, 0.15316303, -0.042250633
101, 61232754, 0.6857787, -0.24962355, -0.28340977, 0.6221534, 0.025269257, 0.14273828, 0.043869972
102, 61249421, 0.6856068, -0.2499962, -0.2837457, 0.62204003, 0.05659661, 0.0891316, 0.16173649
103, 61266088, 0.68562627, -0.25009048, -0.28389144, 0.6219141, -0.044403307, 0.09867494, 0.10201836
104, 61282755, 0.6856788, -0.25014535, -0.28401208, 0.621779, -0.012762589, 0.10238827, 0.024000168
105, 61299422, 0.68565595, -0.2502296, -0.2842226, 0.6216741, -0.036107846, 0.0568684, -0.024053574
106, 61316089, 0.6855195, -0.25028548, -0.28454852, 0.62165314, 0.031885687, 0.0382662, -0.036636353
107, 61332756, 0.6853709, -0.25031015, -0.28482303, 0.6216813, 0.106006384, 0.049342275, 0.04009819
108, 61349423, 0.68518376, -0.25035197, -0.28521553, 0.62169063, 0.074870355, 0.072190106, 0.06432533
109, 61366090, 0.6849913, -0.2505154, -0.28572097, 0.62160486, -0.029455654, 0.07736119, 0.0994997
110, 61382757, 0.6847503, -0.2507242, -0.28622347, 0.62155485, 0.048563108, 0.035773247, 0.16140652
111, 61399424, 0.6843959, -0.25091526, -0.28666568, 0.6216645, 0.02323976, 0.07441797, 0.12860107
112, 61416091, 0.6841778, -0.25118276, -0.28714287, 0.62157625, 0.06250361, 0.08916826, 0.113204956
113, 61432758, 0.6839302, -0.25153765, -0.2877698, 0.6214152, 0.06681987, 0.033039015, 0.10535717
114, 61449425, 0.68365854, -0.25186068, -0.28827614, 0.6213489, 0.043814126, 0.067530416, 0.0826807
115, 61466092, 0.68342984, -0.25202107, -0.2885514, 0.6214074, 0.019674951, 0.0911582, 0.1940527
116, 61482759, 0.6832516, -0.25205612, -0.28882143, 0.62146366, 0.002473618, 0.104555674, 0.22649574
117, 61499426, 0.6831133, -0.25223666, -0.2891798, 0.62137586, -0.07030265, 0.09616801, 0.1403904
118, 61516093, 0.6829703, -0.2525044, -0.28943667, 0.6213047, -0.052574493, 0.09325642, 0.105259895
119, 61532760, 0.68288136, -0.2526379, -0.28956246, 0.6212896, -0.021196628, 0.05871864, 0.18149853
120, 61549427, 0.6828298, -0.25264218, -0.28962177, 0.62131685, 0.008789424, 0.13392214, 0.12735176
121, 61566094, 0.68281525, -0.25263116, -0.28968978, 0.62130564, 0.011818471, 0.06560999, 0.083888054
122, 61582761, 0.6827294, -0.25259155, -0.28971738, 0.62140334, -0.03393597, 0.08226495, 0.07350063
123, 61599428, 0.68264914, -0.25247613, -0.289653, 0.62156844, -0.06655367, 0.18379784, 0.08965778
124, 61616095, 0.6826335, -0.25243583, -0.28968444, 0.62158716, -0.07043005, 0.20913023, 0.08286953
125, 61632762, 0.6826823, -0.25245583, -0.2898065, 0.62146866, -0.021955008, 0.14934912, 0.09278488
126, 61649429, 0.68276876, -0.2523694, -0.2897876, 0.62141746, 0.023621297, 0.040032845, 0.13280296
127, 61666096, 0.6828409, -0.25209162, -0.28965175, 0.6215142, 0.13071351, 0.03278052, 0.17551327
128, 61682763, 0.6829189, -0.25182393, -0.28954494, 0.621587, 0.035476424, 0.08517431, 0.055124283
129, 61699430, 0.6829011, -0.25183672, -0.28961864, 0.62156695, -0.030363342, 0.12211284, -0.0039567947
130, 61716097, 0.68276906, -0.25206932, -0.28982916, 0.62151957, 0.04460581, 0.06625527, 0.12875462
131, 61732764, 0.6825459, -0.25230616, -0.29013842, 0.6215245, -0.002950371, 0.08173377, 0.15542793
132, 61749431, 0.68237233, -0.25252745, -0.2903729, 0.6215154, -0.007593182, 0.14763355, 0.17607307
133, 61766098, 0.6822683, -0.25278768, -0.29069456, 0.6213737, -0.018555151, 0.019294197, 0.14838219
134, 61782765, 0.68204224, -0.25300783, -0.29098028, 0.6213983, 0.023408735, 0.026408056, 0.076031685
135, 61799432, 0.6818643, -0.2531572, -0.2910752, 0.6214882, -0.014702459, 0.17313974, 0.09484863
136, 61816099, 0.68178326, -0.25329557, -0.29121637, 0.62145483, -0.017037274, 0.13310967, 0.16121006
137, 61832766, 0.68167573, -0.25350234, -0.29148534, 0.62136227, -0.059409745, 0.03840567, 0.14186668
138, 61849433, 0.68152094, -0.2537742, -0.29161406, 0.6213606, -0.0047644023, 0.06955243, 0.14050198
139, 61866100, 0.6813996, -0.2539357, -0.2915869, 0.62144065, -5.6995803E-5, 0.16970523, 0.13509178
140, 61882767, 0.68133813, -0.25400522, -0.29164702, 0.62145144, -0.050406866, 0.15029179, 0.069470406
141, 61899434, 0.68125594, -0.25422066, -0.29189765, 0.6213357, -0.03098046, 0.08953191, 0.03853798
142, 61916101, 0.68112224, -0.25454003, -0.2920692, 0.6212709, -0.006185721, 0.052282363, 0.099144936
143, 61932768, 0.6809751, -0.25471053, -0.29207936, 0.6213575, 0.06626019, 0.08504735, 0.18682098
144, 61949435, 0.68093985, -0.2547257, -0.29193234, 0.6214591, 0.020035477, 0.12766658, 0.1606617
145, 61966102, 0.68092346, -0.2546954, -0.29187348, 0.62151706, -0.0077491943, 0.10484166, 0.060162544
146, 61982769, 0.6808675, -0.25472215, -0.2918715, 0.62156826, 0.0149051845, 0.108075775, 0.07174873
147, 61999436, 0.6808466, -0.25474817, -0.2917649, 0.6216307, 0.0359268, 0.1913081, 0.158432
148, 62016103, 0.68076676, -0.25478214, -0.29182687, 0.62167495, -0.0023095594, 0.15039249, 0.17370605
149, 62032770, 0.6806416, -0.2550589, -0.29215148, 0.62154603, -0.029316407, 0.09174324, 0.083786964
150, 62049437, 0.68047607, -0.25540447, -0.29236078, 0.62148714, 0.053015932, 0.10391274, 0.07147694
151, 62066104, 0.680366, -0.25540665, -0.2923102, 0.62163055, 0.0065981024, 0.06588301, 0.1525755
152, 62082771, 0.6803244, -0.255342, -0.2922288, 0.6217408, -0.046947554, 0.16162266, 0.08036709
153, 62099438, 0.68029946, -0.25538766, -0.29230046, 0.62171555, -0.13570265, 0.12006814, -0.012087822
154, 62116105, 0.6801603, -0.25553274, -0.29245573, 0.6217353, -0.07686521, 0.10085855, 0.09586811
155, 62132772, 0.6800871, -0.25567454, -0.2923956, 0.62178534, -0.016641881, 0.07434868, 0.20186234
156, 62149439, 0.6799545, -0.2558093, -0.29242513, 0.62186104, 0.004435391, 0.13367628, 0.124507904
157, 62166106, 0.67986095, -0.2560147, -0.29249483, 0.621846, 0.02019462, 0.16051437, 0.09144783
158, 62182773, 0.6798135, -0.25618124, -0.29256672, 0.62179554, 0.015619979, 0.052603662, 0.14268303
159, 62199440, 0.679736, -0.25623357, -0.29251325, 0.6218838, 0.09063182, 0.066232145, 0.16426945
160, 62216107, 0.6796398, -0.25632742, -0.2925063, 0.6219534, -0.03141229, 0.11415935, 0.088581085
161, 62232774, 0.67949474, -0.2565333, -0.2926311, 0.6219684, -0.029675145, 0.16376224, 0.039527893
162, 62249441, 0.6793701, -0.25678885, -0.29265177, 0.6219895, 0.06400427, 0.17744392, 0.12772465
163, 62266108, 0.67936826, -0.25686857, -0.29270467, 0.6219335, -0.0033345898, 0.088812426, 0.1268692
164, 62282775, 0.6793152, -0.25700724, -0.2928753, 0.621854, -0.062993325, 0.13690013, 0.0659132
165, 62299442, 0.67927235, -0.25727674, -0.29301724, 0.6217224, -0.024486292, 0.11588632, 0.05445385
