DeviceTag:;Xsens DOT 1;;;;;;;;;;;
FirmwareVersion:;1.3.0;;;;;;;;;;;
AppVersion:;2020.1.1;;;;;;;;;;;
Measurement Mode:;Inertial Mode - High Fidelity (with mag);;;;;;;;;;;
StartTime:;2020-07-29 17:12:53.763 +0200;;;;;;;;;;;
© Xsens Technologies B. V. 2005-2020;;;;;;;;;;;;
PacketCounter;SampleTimeFine;dQ_W;dQ_X;dQ_Y;dQ_Z;dV[1];dV[2];dV[3];Mag_X;Mag_Y;Mag_Z;Status
2;2240642116; 0.9999999995591268; 1.913162201974683E-5; 6.697685471318549E-6; 2.1699505713401734E-5; -0.15961938762288944; 0.018674398877827236; -0.02657977745554173; 1.6748046875; -1.85595703125; 1.009521484375;0
3;2240658783; 0.9999999966450165; -6.6046047357049E-5; 2.0050536918642118E-5; 4.411193122116908E-5; -0.1590202649126034; 0.01743436492545588; -0.027162849666727995; 1.67626953125; -1.85498046875; 1.0068359375;0
4;2240675450; 0.9999999943952754; 3.551923932937351E-5; 9.210215547913321E-5; 3.827565365066565E-5; -0.15915270634587758; 0.01689687268618407; -0.027375673956522267; 1.67919921875; -1.855712890625; 1.007568359375;0
5;2240692117; 0.9999999995724682; -5.518811987459404E-6; 2.781011691849883E-5; -7.155675444237009E-6; -0.15946216133697777; 0.016912013571516726; -0.02735207808493497; 1.671875; -1.855224609375; 1.00927734375;0
6;2240708784; 0.9999999935386531; -1.1118360460327104E-4; 1.1200570757999297E-5; -2.0867366580024083E-5; -0.15924905051264002; 0.017945669329403436; -0.02717341759773735; 1.67822265625; -1.855712890625; 1.0068359375;0
7;2240725451; 0.9999999799381216; -1.9092714907867347E-4; 5.331186770995978E-5; -2.8782371569779922E-5; -0.15981372001873284; 0.018047856897681434; -0.026604137958782102; 1.674560546875; -1.856201171875; 1.0068359375;0
8;2240742118; 0.9999999889296092; -1.2899359908480346E-4; 7.21998872594068E-5; -1.698850217701775E-5; -0.15990585765451634; 0.017150995787095814; -0.026669286868802343; 1.673583984375; -1.85546875; 1.00927734375;0
9;2240758785; 0.9999999972677887; -3.5244994870037294E-5; 6.217791108194953E-5; 1.8871152965393993E-5; -0.1592591697942759; 0.01625212802777271; -0.02671237203582252; 1.67529296875; -1.85693359375; 1.00830078125;0
10;2240775452; 0.9999999956616282; 3.258830027913495E-5; 8.307816851370332E-5; 2.669764426510568E-5; -0.15931838437843934; 0.016589900771146956; -0.026741756415197934; 1.677978515625; -1.859619140625; 1.00830078125;0
11;2240792119; 0.9999999964883357; -8.36671345039175E-7; 8.356650330308692E-5; 6.266435617297007E-6; -0.15893270584716448; 0.017696854718971408; -0.027101501771451823; 1.672119140625; -1.856201171875; 1.01025390625;0
