DeviceTag:;Xsens DOT 3;;;;;;;;;;;
FirmwareVersion:;1.3.0;;;;;;;;;;;
AppVersion:;2020.1.1;;;;;;;;;;;
Measurement Mode:;Inertial Mode - High Fidelity (with mag);;;;;;;;;;;
StartTime:;2020-07-29 17:12:53.763 +0200;;;;;;;;;;;
© Xsens Technologies B. V. 2005-2020;;;;;;;;;;;;
PacketCounter;SampleTimeFine;dQ_W;dQ_X;dQ_Y;dQ_Z;dV[1];dV[2];dV[3];Mag_X;Mag_Y;Mag_Z;Status
2;2248901613; 0.9999999945279421; 8.484022863329554E-5; 4.181887125564999E-5; -4.469265444512205E-5; -0.1571415076500254; 0.041401908771614475; -0.01308729305148657; 0.61474609375; -0.566650390625; 0.537109375;0
3;2248918280; 0.9999999950211782; 6.217985639057205E-5; -6.073849648741137E-5; -4.90116711830968E-5; -0.15765720796581706; 0.0421987074951001; -0.013358635050185308; 0.6162109375; -0.5654296875; 0.53662109375;0
4;2248934947; 0.9999999969095181; -6.787403811221032E-5; -3.687784098233005E-5; 1.463227740300388E-5; -0.15707253860519324; 0.042696331562315976; -0.013030613621309457; 0.61474609375; -0.567138671875; 0.5380859375;0
5;2248951614; 0.9999999804140313; -1.957484977826926E-4; -9.221271329906688E-6; 2.7738615454353525E-5; -0.15773078500388052; 0.04169974260752406; -0.013165079899666922; 0.61572265625; -0.566650390625; 0.53662109375;0
6;2248968281; 0.9999999946916672; -1.0197799922886247E-4; -1.3750835320403E-6; -1.4671822323564232E-5; -0.15723067859807616; 0.040481214483664395; -0.012811492111991014; 0.613037109375; -0.56494140625; 0.534423828125;0
7;2248984948; 0.9999999934758466; 1.8645628854570273E-5; 1.2593667003735211E-5; -1.1199128125660708E-4; -0.15703639258680013; 0.04112745094815358; -0.013022885022157642; 0.617919921875; -0.5654296875; 0.5380859375;0
8;2249001615; 0.9999999919358575; 4.784888833819778E-5; 1.8078315227099132E-5; -1.1624088499140317E-4; -0.15714614830661233; 0.042230306950248916; -0.013173994028641237; 0.61669921875; -0.56494140625; 0.535400390625;0
9;2249018282; 0.999999996365045; 1.942486596311771E-5; 6.555132535357444E-5; -5.094711539388453E-5; -0.15689616317655392; 0.042351181688439585; -0.012895796868287153; 0.61572265625; -0.567626953125; 0.535888671875;0
10;2249034949; 0.9999999968071673; -5.6560895186040516E-5; 2.8984748856764057E-5; -4.843980661445313E-5; -0.15739937751587968; 0.04275189739728805; -0.013223620151961483; 0.615234375; -0.567626953125; 0.53662109375;0
11;2249051616; 0.9999999977686331; -2.3000938498676793E-5; -3.911212802293341E-5; -4.9029908950559704E-5; -0.15735067923178192; 0.04174727055199309; -0.013080426459841279; 0.61474609375; -0.566650390625; 0.5380859375;0
