DeviceTag:;Xsens DOT 2;;;;;;;;;;;
FirmwareVersion:;1.3.0;;;;;;;;;;;
AppVersion:;2020.1.1;;;;;;;;;;;
Measurement Mode:;Inertial Mode - High Fidelity (with mag);;;;;;;;;;;
StartTime:;2020-07-29 17:12:53.762 +0200;;;;;;;;;;;
© Xsens Technologies B. V. 2005-2020;;;;;;;;;;;;
PacketCounter;SampleTimeFine;dQ_W;dQ_X;dQ_Y;dQ_Z;dV[1];dV[2];dV[3];Mag_X;Mag_Y;Mag_Z;Status
2;2233654445; 0.9999999987056303; -1.152530072129343E-5; -1.3501388611336653E-5; 4.7682486227440535E-5; -0.16233918591664456; -0.006309970147063061; 0.027376722088459787; 0.490478515625; -0.753662109375; -0.176513671875;0
3;2233671112; 0.999999987416838; 1.279316686774723E-4; -1.4345205607849134E-5; 9.270397512278762E-5; -0.1624547284888785; -0.005479815033732342; 0.027189424023303425; 0.48779296875; -0.749267578125; -0.174560546875;0
4;2233687779; 0.9999999944568709; 4.161989310080827E-5; -3.585615002517362E-5; 8.982415541441968E-5; -0.16244409686015715; -0.0043174922545307914; 0.026921966987564078; 0.48681640625; -0.75341796875; -0.172607421875;0
5;2233704446; 0.9999999661195453; -2.5101887009881807E-4; -6.12903075083715E-5; 3.15267043350942E-5; -0.16294228118793935; -0.00442924008342413; 0.027352977579462846; 0.4892578125; -0.752685546875; -0.171875;0
6;2233721113; 0.9999999391167977; -3.455733629629254E-4; -4.7707691428242056E-5; 8.332321473403237E-6; -0.16278871855010002; -0.005867914530698619; 0.027239625767855026; 0.490234375; -0.75341796875; -0.175048828125;0
7;2233737780; 0.9999999840140612; -1.7672123416384578E-4; -1.7376586836467814E-5; 2.0965131806049978E-5; -0.16277428398553762; -0.006731511717981455; 0.02756553584947246; 0.48779296875; -0.749755859375; -0.1748046875;0
8;2233754447; 0.9999999982043436; 1.5582466678987217E-5; 1.5204933228860075E-5; 5.583287128818615E-5; -0.1627017289998503; -0.005933653654082577; 0.02740683036414139; 0.48779296875; -0.754638671875; -0.17822265625;0
9;2233771114; 0.999999995814576; 3.147044708057267E-5; 3.8239992743396845E-5; 7.692959111893495E-5; -0.16227584255208571; -0.0053705600545762705; 0.027418324623317107; 0.49072265625; -0.7529296875; -0.17138671875;0
10;2233787781; 0.9999999969922474; -6.779680121088427E-5; 1.838979093640725E-5; 3.2877265107922327E-5; -0.1623063323868563; -0.004429840146344163; 0.027434909161146985; 0.489501953125; -0.7529296875; -0.17431640625;0
11;2233804448; 0.9999999881970143; -1.487076855334335E-4; -5.005274498856572E-6; 3.830068871579773E-5; -0.16250893563517793; -0.0046960552385724025; 0.027611102106348824; 0.48876953125; -0.752685546875; -0.173583984375;0
12;2233821115; 0.9999999887145197; -1.265836122625319E-4; -2.4896378051642025E-6; 8.087862184513739E-5; -0.16246169518985532; -0.005845836259246964; 0.027514188341968948; 0.48876953125; -0.752685546875; -0.173583984375;0
13;2233837782; 0.9999999942794018; 1.6904599000333587E-5; 1.4524978469404592E-5; 1.0461575493525556E-4; -0.16274250772216392; -0.006097690841896979; 0.027495193053500934; 0.487060546875; -0.7529296875; -0.170654296875;0
14;2233854449; 0.9999999923809542; 7.025653094122619E-5; 1.2994425633613972E-5; 1.0066407670944466E-4; -0.16296357608608564; -0.005788636148214725; 0.027773839820405488; 0.49072265625; -0.75244140625; -0.174072265625;0
15;2233871116; 0.9999999910378; 5.754371064681241E-5; 9.601307855669485E-6; 1.2050284770059873E-4; -0.16299469565918048; -0.00452346794659543; 0.02749081264756533; 0.487548828125; -0.754150390625; -0.171142578125;0
16;2233887783; 0.9999999897050704; -9.592879163577983E-5; 5.645183743671623E-6; 1.0656292942989865E-4; -0.1630088320638743; -0.0050012083868311505; 0.027622210803959622; 0.488525390625; -0.75244140625; -0.17529296875;0
17;2233904450; 0.9999999970423684; -9.27048209187209E-6; 1.3435190663976804E-5; 7.515861215040555E-5; -0.1633402993169495; -0.005871615598396218; 0.027611703386633102; 0.487548828125; -0.755859375; -0.172119140625;0
18;2233921117; 0.9999999859611637; 1.391494542198335E-4; 2.198837314171254E-6; 9.332881087337208E-5; -0.16330872702388854; -0.005503187639109237; 0.02763723972881464; 0.4892578125; -0.754638671875; -0.1767578125;0
