Marta_trial;;;;;;;;;
Date:;29/07/2020;;;;;;;;
Time:;17:12:00;;;;;;;;
Type:;muscu_imu;;;;;;;;
Description:;;;;;;;;;
Notes:;;;;;;;;;
;;;;;;;;;
TRAJECTORIES;;;;;;;;;
100.000000;Hz;;;;;;;;
;R_shoulder1;;;R_elbow2;;;R_wrist3;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z
63;469.747437;206.424469;386.244598;336.805298;125.348030;196.872879;277.095886;109.972763;48.394566
64;466.934998;206.732239;392.134583;326.547821;125.850906;207.861954;261.515930;111.148636;61.589447
65;464.125458;207.337891;398.260040;316.678955;126.661255;219.676315;245.784576;112.354240;75.917099
66;461.730286;208.159195;404.699951;307.074921;127.495552;231.760010;230.362747;113.473480;91.071335
67;459.111725;208.326263;411.242523;297.366333;128.509384;244.885895;215.393097;114.727173;107.020523
68;456.726288;208.857788;418.079315;288.319183;129.432785;258.299347;200.549347;116.186195;123.951180
69;454.707275;209.306717;424.673615;279.253662;130.536087;272.400055;186.347198;117.773117;141.395828
70;452.495056;209.712219;431.881165;271.017456;131.801987;286.977936;172.559753;119.382004;159.707489
71;450.580170;210.180740;439.487640;262.932587;132.915665;302.168060;159.753738;120.870384;178.527786
72;449.056885;210.808472;446.701904;255.438431;133.773804;317.605988;147.378143;122.382751;197.849335
73;447.557953;211.290527;454.360687;248.635345;134.848831;333.448700;135.755798;123.699783;217.926971
74;446.303467;212.066544;461.881439;242.292099;135.874893;349.392853;124.718346;125.206139;238.619492
75;445.308258;212.989777;469.484924;236.666397;137.072708;365.823639;114.234024;126.752007;259.620972
76;444.583954;213.752975;477.450867;231.387375;138.414627;382.271393;104.881226;128.470840;281.019501
77;443.783539;214.247543;485.253937;226.821777;139.956345;398.980560;96.128090;130.244995;302.770660
78;443.396698;215.058243;492.836731;222.894150;141.624908;415.728088;88.249481;132.402878;324.585327
79;443.339752;215.730865;500.480682;219.338104;143.321411;432.529663;81.365738;134.331894;346.601440
80;443.444641;216.283539;508.008636;216.634354;145.162354;449.076935;75.209389;136.671585;368.496399
81;443.815094;217.230682;515.015747;214.378860;147.090622;465.494415;69.801666;138.772476;390.482239
82;444.171265;217.791656;522.107727;212.613510;148.759140;481.846100;65.332352;140.977295;411.967682
83;444.860718;218.893082;529.024475;211.598648;150.658295;497.728394;61.514282;143.401413;433.349335
84;445.402802;219.502869;535.954590;211.144211;152.412064;513.343628;58.625870;145.660355;454.325714
85;446.216400;220.421341;542.513123;211.020844;154.443970;528.516052;56.392807;147.985916;474.686096
86;447.241089;221.130463;549.037781;211.376160;156.217896;543.321716;54.990219;150.310333;494.268951
87;448.502747;222.043671;555.087402;212.264435;158.065460;557.657288;54.034771;152.587189;513.501282
88;449.597168;222.679871;560.978577;213.372391;159.812393;571.350769;53.944431;154.930588;532.172913
89;450.759979;223.200409;566.679626;214.754013;161.531097;584.508789;53.959980;157.152725;550.189453
90;452.171295;224.008743;571.909058;216.555206;163.338974;597.241882;54.718967;159.401733;567.363464
91;453.600067;224.627014;576.937012;218.670868;165.181076;609.339722;55.790161;161.613403;583.755737
92;454.802246;225.378357;581.605286;220.729492;167.085510;620.769348;57.190987;164.041595;599.447815
93;456.302887;225.918137;586.131531;222.989700;169.000229;631.744873;58.849613;166.113556;614.533508
94;457.847717;226.771469;590.097534;225.553772;170.884613;641.946167;60.863361;168.360718;628.649353
95;459.185516;227.401993;594.285767;228.064590;172.660156;651.600220;63.100353;170.501770;641.766907
96;460.522156;228.025970;597.644836;230.397980;174.317627;660.490906;65.231491;172.537994;654.442200
97;461.791595;228.686264;600.900208;233.037766;176.167038;668.875977;67.544861;174.671585;665.995117
98;463.068268;229.323120;603.960815;235.423370;177.759598;676.407227;69.998291;176.606384;676.671509
99;464.290100;229.763016;606.881897;237.959778;179.052719;683.444397;72.263855;178.435593;686.378357
100;465.450989;230.170456;609.450439;240.170731;180.315536;689.812927;74.626144;180.169128;695.263977
101;466.548004;230.477768;611.739258;242.408615;181.392761;695.476257;76.910591;181.687363;703.321106
102;467.639679;230.752792;613.826355;244.426422;182.289795;700.508423;78.900642;183.090424;710.529175
103;468.770721;231.026398;615.677429;246.360596;183.323975;704.750244;80.813316;184.375351;716.643799
104;469.549225;231.305450;617.454224;247.956894;184.065063;708.823547;82.466766;185.675751;722.147278
105;470.492584;231.507446;618.580017;249.386658;184.835159;712.007446;83.806419;186.830536;726.609802
