Marta_trial 2
Date:,2020/07/29
Time:,17:14:48
Type:,muscu_imu
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,R_shoulder1,,,R_elbow2,,,R_wrist3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
65,401.523285,250.886673,482.665192,175.076355,181.880051,423.161835,42.743931,178.639252,351.650269
66,399.718506,249.836655,491.114807,172.239960,175.737808,444.280426,37.143188,168.007141,380.605408
67,398.162292,248.504501,499.384674,170.417313,168.892532,465.012146,33.453289,156.658813,409.384583
68,396.994904,247.049637,507.309479,170.015717,161.629135,485.243958,31.531019,144.669556,437.520874
69,396.035278,245.097397,514.960205,170.504425,153.871185,504.890015,31.325699,132.159531,465.025452
70,395.338226,243.084366,522.540588,172.258881,145.685593,523.775269,33.165230,119.076714,491.177185
71,395.008545,240.929428,529.924194,175.141693,137.070923,541.780090,36.374645,105.543045,516.596313
72,395.073029,238.604416,536.876587,178.914246,128.263977,559.135193,41.060101,91.670265,540.638672
73,395.247040,236.205353,543.441345,183.580246,119.559669,575.182312,47.180145,77.547241,563.611633
74,395.693909,233.992798,549.525085,188.999741,110.731697,590.777405,54.425209,63.209606,584.984497
75,396.334595,231.699722,555.214966,195.372498,102.238510,605.006897,63.170795,48.866405,604.970581
76,397.370209,229.768951,560.591797,202.453568,93.736443,618.171082,72.674576,34.578442,623.493469
77,398.550446,227.748383,564.930786,210.023956,85.607155,630.006714,83.546402,20.462183,640.263000
78,399.723083,225.837555,568.852966,217.907761,77.798721,640.751465,94.992645,6.729637,655.573242
79,401.005890,224.527740,572.364380,226.156326,70.151596,650.270752,107.262886,-6.802733,669.354065
80,402.331055,222.575012,575.804504,234.686646,62.782394,658.531067,120.254433,-19.795156,681.297974
81,403.601624,220.748398,578.493591,243.277893,55.427795,665.464294,133.626434,-32.269505,691.606384
82,404.610077,218.293961,581.054810,251.793457,48.344631,671.309631,147.352341,-44.387623,700.616150
83,405.694916,215.522308,582.478821,260.244598,41.292435,675.887390,161.160522,-56.293720,708.000000
84,406.699921,212.378128,583.483337,268.889923,34.353340,679.246826,175.237961,-67.916092,713.659851
85,407.568481,208.953354,583.732422,277.583984,27.332689,681.533386,189.290314,-79.048950,718.179382
86,408.595612,205.390152,583.231689,286.342163,20.302633,682.682739,203.667328,-89.835922,721.239929
87,409.570892,201.760361,581.991028,295.286469,13.479235,682.511230,218.189453,-100.392746,722.607300
88,410.786316,197.754501,580.114197,304.114807,6.766195,681.146667,233.015228,-110.470505,722.380798
89,411.893066,194.142120,577.011841,313.074829,-0.110731,678.816895,247.809006,-120.259354,720.742310
90,413.156769,190.517487,573.604736,322.087463,-6.726111,674.918640,262.542572,-129.803528,717.345581
91,414.475616,186.992569,569.661133,330.930267,-13.512245,669.902283,277.336273,-138.963089,712.710449
92,415.852844,183.493759,565.080505,339.786377,-20.113361,663.901184,291.921722,-147.944427,706.476868
93,417.358978,179.823090,559.948853,348.248810,-26.697807,656.783325,306.503815,-156.918137,698.871887
94,418.698578,176.039139,554.602722,356.986847,-33.269093,648.392517,321.289856,-165.427231,689.725769
95,420.121124,172.403778,548.690674,365.143372,-39.611893,639.049316,336.089233,-173.657761,679.033325
96,421.286285,168.768265,542.538879,373.578278,-45.845776,628.552979,351.278442,-181.485367,666.641113
97,422.121246,165.251007,535.932495,381.938263,-51.620235,616.909180,366.676208,-188.665375,652.772461
98,422.757843,162.364960,529.270325,390.594513,-57.129982,604.453979,382.131989,-195.337662,637.408813
99,422.923065,159.620621,522.550964,399.420715,-61.929493,590.976196,397.510071,-201.197845,620.387573
100,423.254547,157.330170,515.859558,407.939697,-66.426437,576.582947,412.389160,-206.569412,602.093689
101,423.675079,155.318787,509.286377,416.309692,-70.301857,561.237366,426.760590,-211.059372,582.163818
102,423.954132,152.887909,502.855255,424.397400,-73.600533,545.058777,440.391998,-214.542282,560.558655
103,424.532562,150.409042,496.083893,431.999573,-76.163361,527.904175,453.127777,-216.987473,537.616333
104,424.908295,148.155136,489.048279,438.986237,-78.158981,509.845673,464.981445,-218.186981,513.071472
105,425.555267,145.949066,482.156189,445.318207,-79.287292,490.861694,476.044098,-218.091965,487.220001
106,426.035614,144.091095,474.647522,451.010101,-79.370247,471.170563,486.159607,-216.811737,460.482025
107,426.391998,142.568939,466.863129,456.138977,-78.358734,450.866028,495.473602,-213.707458,432.489380
108,426.732269,141.507294,458.320221,460.270172,-75.865532,429.851624,503.848389,-209.399170,403.889771
109,426.800751,141.049728,449.163208,463.852692,-71.952911,408.286285,511.007629,-203.592896,374.583527
110,426.874847,141.463562,439.457672,466.497314,-66.949921,386.367218,516.929749,-196.323853,345.009216
