Andrii_trial_4
Date:,2020/08/03
Time:,15:38:05
Type:,muscu_imu
Description:,""
Notes:,"Trial3_Improvisation"

TRAJECTORIES
100.000000,Hz
,R_shoulder1,,,R_elbow2,,,R_wrist3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
1101,342.271851,441.875244,384.150208,349.973663,238.968155,265.672089,393.428436,70.472260,178.748337
1102,347.520691,436.901672,382.235199,362.642487,233.126373,266.522095,413.000366,64.133636,183.389801
1103,352.851715,432.399139,380.509796,375.259460,227.865967,267.733612,432.162476,58.625156,188.283783
1104,358.028595,428.141388,378.829376,388.003632,223.180008,268.881378,451.391785,53.959759,193.352554
1105,363.051514,424.144653,376.928802,400.101532,218.860718,270.585968,470.533661,50.126579,198.963684
1106,368.091766,420.418213,375.343811,412.007629,215.305328,272.499207,489.423340,47.032009,205.459839
1107,372.936920,416.663513,373.397980,423.647339,212.345947,274.533844,508.042084,45.115784,212.825378
1108,377.507294,413.531006,372.023438,434.693726,209.541275,276.952881,525.740540,43.949944,220.940308
1109,381.942871,410.229706,370.645416,445.431610,207.468185,279.794403,542.857666,43.609760,229.865860
1110,386.229370,407.275574,369.398987,455.684143,205.828247,282.977173,558.551208,43.895885,239.503571
1111,390.374237,404.459564,368.301453,465.149170,204.633026,286.116241,573.191895,44.411812,249.161423
1112,394.173706,401.835571,367.466919,473.709106,203.567200,289.733307,586.623840,45.528095,259.146912
1113,397.971558,399.412933,366.873932,481.937134,203.128998,293.446747,599.018127,47.134109,269.345703
1114,401.563812,396.925568,366.397980,488.810608,202.496323,297.283142,609.944153,48.718132,279.606293
1115,404.857849,394.645721,366.214325,495.192474,202.195847,300.989288,619.371887,50.512505,289.970520
1116,407.756256,392.383575,366.036560,500.705536,202.157852,304.859100,627.781128,52.581299,300.264160
1117,410.765137,390.342957,366.144897,505.169098,202.330444,308.565491,634.515503,54.694805,310.516144
1118,413.232025,388.498657,366.245880,509.097626,202.670639,312.005676,639.936829,56.786171,320.362518
1119,415.178284,387.236908,366.382935,511.824951,203.150864,315.571075,644.103821,58.867184,329.801544
1120,416.695465,386.231628,366.375183,513.725647,203.557617,318.803284,647.005310,60.950268,338.683929
1121,417.618103,385.578156,366.676300,514.693665,204.275131,322.025543,648.563171,62.989040,346.905396
1122,417.990417,385.489716,366.753845,514.900146,205.059616,324.829926,648.755737,64.720474,354.693848
1123,418.020721,385.678436,366.661621,513.953979,205.889313,327.603424,647.724182,66.359894,361.853912
