DeviceTag:,Xsens DOT 2,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-03 15:35:33.439 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 4003017026, 0.84653884, -0.4115191, 0.060736492, -0.3321706, -0.015450277, -0.0103278635, 0.19695663, 0
2, 4003033693, 0.8463912, -0.41183212, 0.060801946, -0.332147, -0.015614782, 0.012993255, 0.11953449, 0
3, 4003050360, 0.8463484, -0.41198984, 0.06099612, -0.3320248, -0.025945943, -0.024815302, 0.18912888, 0
4, 4003067027, 0.84629583, -0.41216603, 0.061167337, -0.3319086, -0.03513663, -0.021424387, 0.14869404, 0
5, 4003083694, 0.8462441, -0.4123524, 0.061357476, -0.33177397, -0.018534476, -0.030499237, 0.16834354, 0
6, 4003100361, 0.8461996, -0.41246423, 0.061518468, -0.33171877, -0.033742353, -0.07528408, 0.19956112, 0
7, 4003117028, 0.8461257, -0.41263905, 0.061648, -0.33166537, 0.004586318, -0.04127815, 0.14690208, 0
8, 4003133695, 0.84599966, -0.41293815, 0.061804924, -0.33158574, 0.008019086, -0.056892764, 0.15350437, 0
9, 4003150362, 0.8458918, -0.41318998, 0.06192567, -0.3315249, -0.00847617, -0.078955725, 0.2053957, 0
10, 4003167029, 0.84580314, -0.41338682, 0.062043704, -0.33148322, 0.023092631, -0.060337324, 0.22331524, 0
11, 4003183696, 0.8457463, -0.41348913, 0.06210684, -0.33148903, 0.026142187, -0.009771093, 0.1966505, 0
12, 4003200363, 0.84566444, -0.41364372, 0.062213443, -0.33148512, 0.042957347, 0.0074635446, 0.20059681, 0
13, 4003217030, 0.8455795, -0.41377762, 0.062298175, -0.33151898, 0.04023127, -0.004071959, 0.1912489, 0
14, 4003233697, 0.84552217, -0.4138426, 0.062346734, -0.3315749, 0.038898353, -0.023247136, 0.26437664, 0
15, 4003250364, 0.84553146, -0.4138045, 0.062344134, -0.33159924, 0.072965354, 0.013176983, 0.23668289, 0
16, 4003267031, 0.84546936, -0.41373858, 0.06240915, -0.33182716, 0.053146575, 0.019172719, 0.22904396, 0
17, 4003283698, 0.84544355, -0.413772, 0.06243922, -0.33184576, 0.061196283, -0.018425962, 0.23455334, 0
18, 4003300365, 0.8462456, -0.41381526, 0.061494906, -0.3299182, 0.04657345, -0.023201538, 0.19507694, 0
19, 4003317032, 0.8472334, -0.4138855, 0.060310528, -0.32750475, 0.027359383, -0.009815125, 0.22297287, 0
20, 4003333699, 0.84663016, -0.41363683, 0.06112337, -0.32922384, 0.010996893, -0.039161034, 0.21460342, 0
21, 4003350366, 0.8466294, -0.41354734, 0.06124574, -0.32931513, 0.02415605, -0.05558365, 0.1679964, 0
22, 4003367033, 0.8464085, -0.41346356, 0.0616608, -0.32991022, -0.022365488, -0.057410643, 0.12867832, 0
23, 4003383700, 0.8461425, -0.41341117, 0.06213223, -0.3305694, -0.029227393, -0.105237275, 0.16287136, 0
24, 4003400367, 0.8461771, -0.41344237, 0.06222105, -0.33042517, -0.061681528, -0.11561453, 0.19296265, 0
25, 4003417034, 0.84604895, -0.41355035, 0.06252444, -0.3305605, -0.06584496, -0.13161181, 0.20920277, 0
26, 4003433701, 0.84609145, -0.41392776, 0.06260639, -0.32996354, -0.09404615, -0.13307068, 0.29804134, 0
27, 4003450368, 0.84566647, -0.4145033, 0.06332685, -0.33019292, -0.12475532, -0.15079927, 0.35049725, 0
28, 4003467035, 0.8448458, -0.41508526, 0.064807706, -0.33127362, -0.051980842, -0.14247185, 0.42207718, 0
29, 4003483702, 0.84463066, -0.41551796, 0.06578057, -0.33108768, 0.036411155, 0.015660658, 0.3394699, 0
30, 4003500369, 0.8443286, -0.41576865, 0.067080535, -0.33128276, 0.021837663, -0.023047091, 0.32945633, 0
31, 4003517036, 0.8445136, -0.4155016, 0.06815252, -0.33092764, 0.12381902, -0.12256467, 0.3596487, 0
32, 4003533703, 0.8454336, -0.41455558, 0.06876744, -0.32963464, 0.2523981, 0.008960411, 0.23974228, 0
33, 4003550370, 0.8461634, -0.4134568, 0.06988291, -0.32890674, 0.2796351, 0.018389082, 0.30527782, 0
34, 4003567037, 0.84682053, -0.41205266, 0.07121767, -0.32869133, 0.25560316, -0.050647367, 0.33800602, 0
35, 4003583704, 0.84755206, -0.4104971, 0.07233162, -0.32850918, 0.32798505, 0.015499506, 0.20258427, 0
36, 4003600371, 0.8485046, -0.40926534, 0.07296052, -0.32744625, 0.4022925, 0.09275385, 0.29981804, 0
37, 4003617038, 0.8487346, -0.4084215, 0.074251115, -0.32761368, 0.418764, 0.036785986, 0.46156502, 0
38, 4003633705, 0.8489926, -0.40789223, 0.07532053, -0.32735997, 0.49470437, -0.011123346, 0.6263037, 0
39, 4003650372, 0.8494092, -0.4072732, 0.07620324, -0.32684517, 0.5232535, -0.17896123, 0.66246986, 0
40, 4003667039, 0.8498609, -0.40660504, 0.07703487, -0.32630754, 0.53866947, -0.2595095, 0.53180027, 0
41, 4003683706, 0.85044694, -0.405709, 0.07740478, -0.32580805, 0.46587542, -0.34033513, 0.21923923, 0
42, 4003700373, 0.85121703, -0.40465567, 0.0773312, -0.32512406, 0.51705074, -0.17798829, 0.01951027, 0
43, 4003717040, 0.85205895, -0.40364385, 0.07699377, -0.3242552, 0.293655, -0.06267437, -0.26188183, 0
44, 4003733707, 0.85276526, -0.40293303, 0.07670432, -0.3233498, 0.18873718, 0.06965468, -0.4814253, 0
45, 4003750374, 0.8535864, -0.4021847, 0.07646777, -0.3221688, 0.051192626, 0.15438196, -0.5221958, 0
46, 4003767041, 0.8541717, -0.4020581, 0.07665079, -0.3207292, -0.19594347, 0.099649675, -0.61269474, 0
47, 4003783708, 0.8546991, -0.40234682, 0.07714372, -0.3188382, -0.40072268, 0.04559888, -0.5292711, 0
48, 4003800375, 0.8554452, -0.40242192, 0.0776877, -0.3166024, -0.63561887, 0.0010632512, -0.58769035, 0
49, 4003817042, 0.8565981, -0.4018688, 0.077807255, -0.31414923, -0.8355391, 0.18017738, -0.68811893, 0
50, 4003833709, 0.8578603, -0.40119177, 0.07767469, -0.31159213, -0.85812306, 0.1486274, -0.4801998, 0
51, 4003850376, 0.85920197, -0.4002443, 0.07756834, -0.30913082, -0.6569402, 0.011690845, -0.33861256, 0
52, 4003867043, 0.8606332, -0.39910042, 0.077649355, -0.3065979, -0.57818556, -0.031996552, -0.20209503, 0
53, 4003883710, 0.86199605, -0.3978954, 0.07807008, -0.30421942, -0.49904865, -0.14208652, -0.24877834, 0
54, 4003900377, 0.8630973, -0.39715052, 0.07901446, -0.3018172, -0.5793551, -0.38780504, 0.02936554, 0
55, 4003917044, 0.8641902, -0.3962044, 0.080421686, -0.2995529, -0.47134742, -0.6506102, 0.30223083, 0
56, 4003933711, 0.86529, -0.39507043, 0.08234657, -0.29734492, -0.54592115, -0.7057021, 0.25062847, 0
57, 4003950378, 0.8664654, -0.3937553, 0.084314056, -0.29510683, -0.7754053, -0.46121854, 0.26747417, 0
58, 4003967045, 0.86738056, -0.39294845, 0.08630501, -0.29290995, -0.55427426, -0.2260724, 0.15437222, 0
59, 4003983712, 0.8682485, -0.3921081, 0.08809873, -0.29092413, -0.25370994, -0.021516697, 0.17686749, 0
60, 4004000379, 0.86902624, -0.39162612, 0.08960904, -0.28878176, -0.17656724, -0.31552207, 0.4869175, 0
61, 4004017046, 0.8699936, -0.39099082, 0.091099605, -0.2862524, 0.15790397, -0.70808727, 0.55168915, 0
62, 4004033713, 0.8715728, -0.38901174, 0.092367135, -0.28372803, 0.23215592, -0.6468807, 0.4177475, 0
63, 4004050380, 0.87351257, -0.38619953, 0.09324647, -0.28130665, 0.22056577, -0.49345893, 0.4019184, 0
64, 4004067047, 0.8756361, -0.3827712, 0.093336314, -0.27935302, 0.3980317, 0.026457228, 0.1621666, 0
65, 4004083714, 0.87750465, -0.37985253, 0.09232506, -0.2778055, 0.5272122, 0.43194348, 0.13728237, 0
66, 4004100381, 0.8787627, -0.37847137, 0.09075074, -0.27622825, 0.5395944, 0.32194492, 0.1408081, 0
67, 4004117048, 0.8802103, -0.37672442, 0.08874985, -0.27465338, 0.38644603, 0.10028333, 0.35639286, 0
68, 4004133715, 0.8821634, -0.37374339, 0.08575312, -0.27340817, 0.15780495, 0.13200273, 0.3885584, 0
69, 4004150382, 0.8844501, -0.36984047, 0.0814257, -0.27265048, 0.23685494, 0.25450483, 0.2945633, 0
70, 4004167049, 0.8866991, -0.36588034, 0.07607796, -0.27223256, 0.4187775, 0.20682593, 0.41060734, 0
71, 4004183716, 0.88906837, -0.36126956, 0.07042814, -0.2721835, 0.4862192, 0.031094229, 0.3467741, 0
72, 4004200383, 0.8915497, -0.35616678, 0.06497933, -0.272148, 0.33900076, -0.089709386, 0.50922585, 0
73, 4004217050, 0.8940692, -0.35058403, 0.05954574, -0.27237403, 0.14019509, 0.2743807, 0.2320795, 0
74, 4004233717, 0.8961642, -0.34557956, 0.054197125, -0.2730009, 0.09496032, 0.7512293, -0.17168045, 0
75, 4004250384, 0.8975164, -0.34200093, 0.04906492, -0.2740337, 0.09539611, 0.729325, -0.08852291, 0
76, 4004267051, 0.89828783, -0.33954185, 0.04429452, -0.2753733, 0.20405409, 0.22238176, 0.30850506, 0
77, 4004283718, 0.89899695, -0.336927, 0.04015617, -0.27690136, 0.3655838, -0.17159536, 0.6390543, 0
78, 4004300385, 0.89971846, -0.33388683, 0.036720064, -0.27871153, 0.14576785, -0.096087776, 0.5130625, 0
79, 4004317052, 0.90022236, -0.3313423, 0.033910226, -0.28047195, 0.07776521, 0.31010813, 0.22679996, 0
80, 4004333719, 0.900524, -0.3292342, 0.03160215, -0.2822494, 0.07857562, 0.35362902, -0.05243969, 0
81, 4004350386, 0.90070397, -0.3271577, 0.029653315, -0.28429374, 0.055900756, -0.06357178, 0.2582922, 0
82, 4004367053, 0.9008372, -0.32518977, 0.028141057, -0.28627628, 0.087448776, -0.3794385, 0.7494736, 0
83, 4004383720, 0.90131676, -0.3226077, 0.027005555, -0.28779367, -0.05519194, -0.16535868, 0.64927006, 0
84, 4004400387, 0.9017816, -0.3204526, 0.026031783, -0.28883338, -0.3615454, 0.19069009, 0.23099995, 0
85, 4004417054, 0.90181464, -0.31978625, 0.025139533, -0.28954715, -0.47185016, 0.45374292, 0.17206001, 0
86, 4004433721, 0.9017448, -0.31943122, 0.023999, -0.29025236, -0.46643117, 0.16184103, 0.34439468, 0
