DeviceTag:,Xsens DOT 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - High Fidelity,,,,,,,,,,,,,,,,,
StartTime:,2020-08-04 10:48:43.908 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,dQ_W,dQ_X,dQ_Y,dQ_Z,dV[1],dV[2],dV[3],Status
12, 1229653186, 0.999999914617896, 3.9196175988950865E-4, 8.726331751085505E-6, 1.3059108192503555E-4, -0.057137138092768734, 0.013158944709687648, 0.1551748380069806, 0
13, 1229669853, 0.9999998758943832, 4.321874664136305E-4, 1.672620916383094E-4, 1.8288959712915723E-4, -0.05581916000174232, 0.01336514444459372, 0.15123508227550203, 0
14, 1229686520, 0.9999999417332746, -3.1534539417324425E-4, 1.1011728901601238E-4, 7.046213524034006E-5, -0.056684068525655204, 0.01235356759772457, 0.15289755050403028, 0
15, 1229703187, 0.9999998402426609, -5.594868256549868E-4, -8.018069681910157E-5, 7.75890759993625E-6, -0.05829981138916425, 0.01256268414541875, 0.15701515921835843, 0
16, 1229719854, 0.9999999607636867, 7.714367656491694E-5, -2.0987267092889564E-5, 2.68479073349176E-4, -0.057810467201236074, 0.012175345969394354, 0.15687171447505874, 0
17, 1229736521, 0.9999996994598623, 6.325524912812047E-4, 1.770285934733079E-4, 4.1184755408686663E-4, -0.0556386869973755, 0.011972595068063956, 0.15381875754654967, 0
18, 1229753188, 0.9999999229795591, 2.1256498558262782E-4, 1.529577983161862E-4, 2.923369886888155E-4, -0.05470262642701544, 0.010728683786395242, 0.15161573743298704, 0
19, 1229769855, 0.999999877121104, -4.918217471899522E-4, 5.857643398138324E-6, 6.192603642392326E-5, -0.05621936356385257, 0.010069461962211253, 0.1550042048365038, 0
20, 1229786522, 0.9999999712390156, -2.1330993446609658E-4, -3.1736835153561855E-5, 1.0494576253597399E-4, -0.05719768382861733, 0.011078621183699403, 0.15753042195126582, 0
21, 1229803189, 0.9999998061579891, 5.252750304658299E-4, 1.1890984353324363E-4, 3.124589181630056E-4, -0.05667892554634075, 0.010654027612336784, 0.15538158303782004, 0
22, 1229819856, 0.9999997291173177, 6.164338656453466E-4, 1.911409969635042E-4, 3.538922148949991E-4, -0.055053275683066435, 0.010438293033710772, 0.15251953192389597, 0
23, 1229836523, 0.9999999615361599, 1.6554043546485042E-4, 1.425213385417429E-4, 1.709143382912365E-4, -0.0555991996796012, 0.010951679701820993, 0.15180307954192607, 0
24, 1229853190, 0.999999956692378, -2.611313484639777E-4, -4.295696020378826E-5, 1.2876474918298297E-4, -0.05779061487607272, 0.013114646747713142, 0.15409780087028063, 0
25, 1229869857, 0.9999999366628891, -2.0868156669892612E-5, -6.68174239548125E-5, 3.4896155878513807E-4, -0.057913426199583076, 0.01338634446953529, 0.15436165465985957, 0
26, 1229886524, 0.9999997203106309, 4.5734559153011445E-4, 5.045321779019452E-5, 5.89633905566142E-4, -0.055841609054690884, 0.012470595912540045, 0.15212421041901628, 0
27, 1229903191, 0.9999997773053865, 3.3807880076903996E-4, 1.636167376008191E-4, 5.51653392275739E-4, -0.0545275844307699, 0.011337939025508694, 0.14977581610940374, 0
28, 1229919858, 0.9999999130365135, -2.136813587508002E-4, 1.0649045237227929E-4, 3.41945940424207E-4, -0.054011853181972325, 0.010234395678711686, 0.15012644924842855, 0
29, 1229936525, 0.999999883032151, -4.5279530644541655E-4, 1.2402135133465775E-4, 1.1632196323491108E-4, -0.05400129824726099, 0.010508732499015686, 0.15360817344760647, 0
30, 1229953192, 0.9999999555860231, -1.6579918669891447E-4, 2.1585215032320085E-4, 1.2143488264990121E-4, -0.05590496010604707, 0.010579635222178571, 0.15541686953392128, 0
31, 1229969859, 0.9999999571115804, 8.810652541879627E-5, 2.6648721179312057E-4, 8.36578951990269E-5, -0.05548476756302445, 0.011108844610099871, 0.15569380722801207, 0
32, 1229986526, 0.9999999811145519, -1.1876304110029767E-4, 1.4484863677387275E-4, 5.181803150457187E-5, -0.05679421389578582, 0.011390051702470809, 0.1558564627929663, 0
33, 1230003193, 0.999999955431015, -2.9073271680281343E-4, 6.430654049269235E-5, 2.1843167775745246E-5, -0.05658797418915371, 0.01165921599438715, 0.15670436156923467, 0
34, 1230019860, 0.999999990540033, -9.853556953173803E-5, 9.291420492657522E-5, 2.4033853077101708E-5, -0.056922739112004274, 0.011237175152569685, 0.15800021503495365, 0
35, 1230036527, 0.9999999611678018, 2.2519424547341738E-4, 1.3202695826876334E-4, 9.757473635121917E-5, -0.05635905360557977, 0.011700244225061135, 0.15694122782877903, 0
36, 1230053194, 0.9999999457182379, 2.981995198311771E-4, 1.0709011931990532E-4, 9.040063014850719E-5, -0.054501223977445175, 0.011450273208443646, 0.15386635706435392, 0
37, 1230069861, 0.9999999960575029, 9.306410481371707E-6, 8.35693915015312E-5, -2.8540181002290058E-5, -0.05587030246245039, 0.011446519188713002, 0.15169017686596878, 0
38, 1230086528, 0.999999980773861, -1.7984274521286314E-4, 7.075111872101304E-5, -3.3213611486157535E-5, -0.05630922493879599, 0.011647751804587748, 0.1541473213953865, 0
39, 1230103195, 0.999999961636249, 2.2712783247219592E-4, 1.453503182330396E-4, 6.335403060350743E-5, -0.056504391303477675, 0.012116039573574142, 0.15384177042244673, 0
40, 1230119862, 0.9999997746073025, 5.623587317593604E-4, 3.2302310546654395E-4, 1.737644222161716E-4, -0.05483131901015613, 0.01297798982597591, 0.15161044950909988, 0
41, 1230136529, 0.9999999166493807, 1.7669879938857214E-4, 3.389891868381262E-4, 1.4340535880526253E-4, -0.05520168358910381, 0.011726533320289138, 0.14961655675573923, 0
42, 1230153196, 0.9999999212803663, -3.4625446072276966E-4, 1.875491633921839E-4, -4.87075043906493E-5, -0.05651062914804142, 0.011620629018637611, 0.15176581172072712, 0
43, 1230169863, 0.999999969240252, -1.6295931578544365E-4, 1.8698367529210172E-4, 9.282708321178835E-7, -0.05626806793985663, 0.012759865859783517, 0.1531664788325531, 0
44, 1230186530, 0.9999998329746951, 3.7360367040861764E-4, 4.0284932058211326E-4, 1.793970574631848E-4, -0.055149354008614766, 0.01273618354500404, 0.15253097015694647, 0
45, 1230203197, 0.9999998663357128, 1.399694045283173E-4, 4.788594368905219E-4, 1.3575994253708926E-4, -0.055862363173256775, 0.01197328999079823, 0.1526173909496847, 0
46, 1230219864, 0.9999998716461933, -4.764806492954382E-4, 1.6525207391678012E-4, -4.863681563191391E-5, -0.05744424535330408, 0.01171164825802556, 0.15617482202103433, 0
47, 1230236531, 0.999999961657511, -2.549541143509054E-4, 1.0310348171316265E-4, -3.245070209062507E-5, -0.057935306879340676, 0.012879531270734351, 0.15664731713428212, 0
48, 1230253198, 0.9999999278328473, 2.1316284851440048E-4, 2.88404128199471E-4, 1.2537527334435805E-4, -0.057019168919552464, 0.013227724669741536, 0.15463198719218743, 0
49, 1230269865, 0.999999962150484, -4.031662280173931E-5, 2.6736225370370403E-4, 5.090212023919905E-5, -0.05688422253789137, 0.012036344506505165, 0.15433145166114395, 0
50, 1230286532, 0.9999999202899784, -3.873329797484393E-4, 6.812675904133149E-5, -6.893434827025258E-5, -0.057676786680262826, 0.011375875199764813, 0.15466310959213075, 0
51, 1230303199, 0.9999999906464422, -6.816397725536993E-5, 1.0833605695147187E-4, 4.820877877045882E-5, -0.058239826269131004, 0.012635793219023044, 0.15400029461669773, 0
52, 1230319866, 0.9999997792141008, 4.7504576612107663E-4, 4.120851754456229E-4, 2.1468366949635442E-4, -0.058189362637220896, 0.01363386031333871, 0.15185215747788086, 0
53, 1230336533, 0.9999997822492405, 4.1888268496559355E-4, 4.38541831980957E-4, 2.602303391219946E-4, -0.057967045437704104, 0.012862025259438442, 0.15033775268276778, 0
54, 1230353200, 0.99999989524948, 2.2373758823329704E-5, 4.135587642485478E-4, 1.9485787755332828E-4, -0.05693099109520736, 0.012968501732019381, 0.15086651802516235, 0
55, 1230369867, 0.9999998611192964, -3.199593687261554E-4, 3.859293635389422E-4, 1.626220056060307E-4, -0.05678024841320849, 0.012821012040594446, 0.15369673503516793, 0
56, 1230386534, 0.9999998965597535, -3.2129003684179536E-4, 2.639551021885595E-4, 1.8433908614036432E-4, -0.057696368672384715, 0.011776388564660248, 0.15692906692611577, 0
57, 1230403201, 0.999999917762906, 9.580732959880989E-5, 2.922028698396778E-4, 2.6440994645059174E-4, -0.058050608455524025, 0.010709403064484426, 0.15809266303344544, 0
