DeviceTag:,Xsens DOT 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-11 10:05:51.846 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1, 321228317, 0.97453433, 0.007897489, 0.039371405, 0.22061473
2, 321244984, 0.9745915, 0.008658214, 0.0375988, 0.22064196
3, 321261651, 0.9745915, 0.0095276, 0.037158243, 0.22068045
4, 321278318, 0.9746001, 0.010470119, 0.036549352, 0.220702
5, 321294985, 0.97458816, 0.011378747, 0.03620927, 0.22076572
6, 321311652, 0.97456914, 0.011842065, 0.035967506, 0.22086509
7, 321328319, 0.97455853, 0.012109323, 0.03582747, 0.22092001
8, 321344986, 0.9745671, 0.012148819, 0.03554995, 0.2209245
9, 321361653, 0.9745742, 0.012342963, 0.03541079, 0.22090471
10, 321378320, 0.9745693, 0.012715947, 0.035382386, 0.2209102
11, 321394987, 0.9745593, 0.013087831, 0.035513572, 0.22091092
12, 321411654, 0.974558, 0.0130625395, 0.035710722, 0.22088632
13, 321428321, 0.9745593, 0.012891468, 0.035985444, 0.22084622
14, 321444988, 0.9745794, 0.012830274, 0.036270462, 0.22071476
15, 321461655, 0.97459894, 0.01318832, 0.03665656, 0.22054401
16, 321478322, 0.9746305, 0.013693378, 0.03697542, 0.22031996
17, 321494989, 0.9746873, 0.013655838, 0.03702143, 0.22006305
18, 321511656, 0.97484434, 0.013104198, 0.036878895, 0.21942388
19, 321528323, 0.97494185, 0.012735505, 0.036791798, 0.2190268
20, 321544990, 0.9750127, 0.012857202, 0.036863364, 0.21869223
21, 321561657, 0.9751089, 0.013066672, 0.03697518, 0.21823093
22, 321578324, 0.97518826, 0.012933689, 0.03688563, 0.21789919
23, 321594991, 0.97535455, 0.012892972, 0.03677975, 0.21717398
24, 321611658, 0.97537553, 0.013116148, 0.036769457, 0.21706854
25, 321628325, 0.9754312, 0.013407686, 0.036850248, 0.21678634
26, 321644992, 0.9753757, 0.013509022, 0.036766954, 0.21704416
27, 321661659, 0.9754311, 0.013618203, 0.03664992, 0.21680789
28, 321678326, 0.9754563, 0.013615046, 0.03649803, 0.21672063
29, 321694993, 0.9754437, 0.013780637, 0.036425468, 0.2167786
30, 321711660, 0.975346, 0.013885295, 0.0363379, 0.21722555
31, 321728327, 0.9753851, 0.01389561, 0.03611978, 0.21708582
32, 321744994, 0.9753477, 0.013941199, 0.03587036, 0.21729212
33, 321761661, 0.9753347, 0.014263301, 0.035806794, 0.21734013
34, 321778328, 0.97527295, 0.01449994, 0.035788562, 0.21760473
35, 321794995, 0.97521514, 0.014239058, 0.035570096, 0.21791638
36, 321811662, 0.97520024, 0.013587525, 0.035245128, 0.21807799
37, 321828329, 0.9751052, 0.013180089, 0.035092644, 0.21855184
38, 321844996, 0.97506106, 0.01313895, 0.035216916, 0.21873099
39, 321861663, 0.97498584, 0.013021994, 0.03537362, 0.21904762
40, 321878330, 0.9748731, 0.012924976, 0.035580017, 0.21952121
41, 321894997, 0.9747977, 0.012876018, 0.035890937, 0.21980776
42, 321911664, 0.97472423, 0.012862531, 0.03633327, 0.22006212
43, 321928331, 0.97474134, 0.012761925, 0.036752503, 0.21992294
44, 321944998, 0.9746749, 0.012588005, 0.03717769, 0.22015585
45, 321961665, 0.9747053, 0.012604364, 0.037605934, 0.21994723
46, 321978332, 0.9747443, 0.012643157, 0.038060684, 0.2196942
47, 321994999, 0.9747736, 0.01247966, 0.038427882, 0.21950856
48, 322011666, 0.97476447, 0.012116859, 0.038643893, 0.21953194
49, 322028333, 0.9749046, 0.012024269, 0.03887698, 0.21887214
50, 322045000, 0.9749092, 0.012151646, 0.039184067, 0.21878988
51, 322061667, 0.97495896, 0.012389104, 0.03951367, 0.21849537
52, 322078334, 0.9749249, 0.012391661, 0.03973424, 0.21860687
53, 322095001, 0.97492844, 0.0124301845, 0.039955176, 0.21854901
54, 322111668, 0.97490686, 0.0128225945, 0.040403526, 0.2185401
55, 322128335, 0.97487766, 0.013074362, 0.0410067, 0.21854365
56, 322145002, 0.97483844, 0.012829116, 0.041536674, 0.21863335
57, 322161669, 0.97472924, 0.012573332, 0.042239893, 0.21899924
58, 322178336, 0.97470707, 0.012354527, 0.04321185, 0.2189208
59, 322195003, 0.9746016, 0.011654449, 0.044136528, 0.2192437
60, 322211670, 0.9745564, 0.010006086, 0.044697262, 0.21941307
61, 322228337, 0.9744492, 0.008573953, 0.045329966, 0.21981965
62, 322245004, 0.9744821, 0.0083614085, 0.046271283, 0.21948543
63, 322261671, 0.9744807, 0.008995322, 0.047408115, 0.21922372
64, 322278338, 0.9744305, 0.00957876, 0.048439868, 0.21919668
65, 322295005, 0.9743623, 0.009709156, 0.04941588, 0.21927617
66, 322311672, 0.97437656, 0.009594737, 0.050469935, 0.21897744
67, 322328339, 0.97447693, 0.009436627, 0.05158757, 0.21827634
68, 322345006, 0.97430974, 0.009190863, 0.052753747, 0.21875422
69, 322361673, 0.97428495, 0.009280691, 0.054014154, 0.2185531
70, 322378340, 0.9741341, 0.009568028, 0.05549882, 0.2188409
71, 322395007, 0.9738545, 0.0094686225, 0.057101045, 0.2196754
72, 322411674, 0.9735141, 0.009121009, 0.05867589, 0.2207816
73, 322428341, 0.9732281, 0.0094118165, 0.060552824, 0.221522
74, 322445008, 0.9728822, 0.009873124, 0.06280174, 0.22239369
75, 322461675, 0.9730237, 0.010321225, 0.06520777, 0.22105749
76, 322478342, 0.9726971, 0.010392722, 0.067677155, 0.22174846
77, 322495009, 0.9725747, 0.010841868, 0.07044247, 0.2214022
78, 322511676, 0.9724087, 0.011806184, 0.073565565, 0.22106566
79, 322528343, 0.97227025, 0.0126642035, 0.07693741, 0.22047873
80, 322545010, 0.97214216, 0.012866675, 0.08009322, 0.21990722
81, 322561677, 0.9717213, 0.012126057, 0.08299603, 0.22073188
82, 322578344, 0.97155184, 0.0117463395, 0.08599771, 0.2203487
83, 322595011, 0.9712797, 0.011998229, 0.08934752, 0.22020233
84, 322611678, 0.97091645, 0.0123035535, 0.09285632, 0.22033562
85, 322628345, 0.9705945, 0.011824104, 0.09612184, 0.22038047
86, 322645012, 0.97024614, 0.010775386, 0.09926523, 0.22057375
87, 322661679, 0.9698352, 0.010383456, 0.10262563, 0.22086184
88, 322678346, 0.969387, 0.010482694, 0.106333055, 0.22107126
89, 322695013, 0.96894246, 0.009942664, 0.109797925, 0.22135101
90, 322711680, 0.9684772, 0.008794794, 0.11303107, 0.22180772
91, 322728347, 0.9679453, 0.007682664, 0.11640644, 0.22242452
92, 322745014, 0.967344, 0.0076031666, 0.12012248, 0.22306657
93, 322761681, 0.9667086, 0.008628903, 0.124193765, 0.22355375
94, 322778348, 0.966047, 0.009937588, 0.128468, 0.22394319
95, 322795015, 0.9653835, 0.0107841175, 0.13293318, 0.22415893
96, 322811682, 0.964703, 0.011192518, 0.13732967, 0.22441801
97, 322828349, 0.9639711, 0.012013526, 0.14204285, 0.22458716
98, 322845016, 0.9631894, 0.013052429, 0.14731392, 0.22448736
99, 322861683, 0.9623797, 0.013361442, 0.15271796, 0.22433098
100, 322878350, 0.9616144, 0.012203392, 0.15771154, 0.22422339
101, 322895017, 0.9608542, 0.0101260785, 0.16238365, 0.22425084
102, 322911684, 0.96003515, 0.008806412, 0.16732697, 0.22418071
103, 322928351, 0.95914, 0.0078239245, 0.17257732, 0.2240678
104, 322945018, 0.9582298, 0.0060572145, 0.17760034, 0.2240924
105, 322961685, 0.95733446, 0.0032896947, 0.18212682, 0.22434309
106, 322978352, 0.9564058, 0.0011003404, 0.18663643, 0.22461872
107, 322995019, 0.9554079, 4.9890723E-4, 0.1917192, 0.22458664
108, 323011686, 0.95434165, 0.0010371113, 0.19703649, 0.22451682
109, 323028353, 0.95321673, 0.0018406876, 0.20243458, 0.22448823
110, 323045020, 0.9520211, 0.002469419, 0.20791468, 0.22454652
111, 323061687, 0.95073396, 0.0025824693, 0.21373957, 0.22452968
112, 323078354, 0.94943655, 0.0016258116, 0.21942462, 0.22454472
113, 323095021, 0.94807494, -5.1251467E-5, 0.22496009, 0.22482626
114, 323111688, 0.94665766, -0.0016938772, 0.23065215, 0.22502476
115, 323128355, 0.9451491, -0.0028634097, 0.23660226, 0.2251766
116, 323145022, 0.94356066, -0.003679147, 0.24289559, 0.22512592
117, 323161689, 0.94188964, -0.0050682044, 0.2492675, 0.22513144
118, 323178356, 0.94012177, -0.00782734, 0.25549012, 0.22546619
119, 323195023, 0.93819326, -0.0125884395, 0.26125354, 0.22667547
120, 323211690, 0.9361203, -0.018580498, 0.26671562, 0.2284655
121, 323228357, 0.93394536, -0.025262052, 0.27220646, 0.23024248
