DeviceTag:;Xsens DOT 1;;;;;;;;;;;
FirmwareVersion:;1.3.0;;;;;;;;;;;
AppVersion:;2020.1.1;;;;;;;;;;;
Measurement Mode:;Inertial Mode - High Fidelity (with mag);;;;;;;;;;;
StartTime:;2020-07-29 17:14:08.110 +0200;;;;;;;;;;;
© Xsens Technologies B. V. 2005-2020;;;;;;;;;;;;
PacketCounter;SampleTimeFine;dQ_W;dQ_X;dQ_Y;dQ_Z;dV[1];dV[2];dV[3];Mag_X;Mag_Y;Mag_Z;Status
2;2315101382; 0.9999999849145946; 6.608394121515593E-5; 1.3679837888769256E-4; 8.42017022592012E-5; -0.1633104898298818; -0.0029918097600016534; -0.0036275727005392194; 1.868408203125; -1.67138671875; 0.64990234375;0
3;2315118049; 0.9999999935087418; -6.710087672856524E-5; 9.204476235682991E-5; 2.783939585415674E-6; -0.16307182156629405; -0.0023879945851771403; -0.003408691623407803; 1.865234375; -1.671875; 0.651611328125;0
4;2315134716; 0.9999999531503294; -2.949797722265335E-4; 5.751674369239291E-5; -5.8121400672517254E-5; -0.1632322049417106; -0.0017927699123885428; -0.0036189166238221604; 1.866455078125; -1.673828125; 0.650390625;0
5;2315151383; 0.999999875541915; -4.838597514569831E-4; 2.4201080277397313E-5; -1.1920655566238782E-4; -0.16352416766030498; -0.0023346619062177693; -0.004686542033118107; 1.87060546875; -1.671875; 0.652099609375;0
6;2315168050; 0.9999998734390494; -4.867937986401949E-4; 3.6200486684068174E-5; -1.2183270236831856E-4; -0.16411913319196006; -0.003684946527632106; -0.0046902404480715365; 1.870361328125; -1.6728515625; 0.651611328125;0
7;2315184717; 0.9999999587068804; -2.610918100472426E-4; 8.874826316490615E-5; -8.087675692036723E-5; -0.1639899110759622; -0.005008106666570502; -0.004715071758683229; 1.868408203125; -1.670654296875; 0.653076171875;0
8;2315201384; 0.9999999933238872; -1.0020474805083612E-5; 1.1338326298040992E-4; 1.990103726673409E-5; -0.1636223906595015; -0.004798987704992409; -0.004727757066475678; 1.872314453125; -1.671630859375; 0.651123046875;0
9;2315218051; 0.9999999866737179; 7.203396694566155E-5; 1.1177848778562427E-4; 9.470607747252836E-5; -0.16283488722133022; -0.003467929201099222; -0.0045145508382184035; 1.86865234375; -1.670654296875; 0.650146484375;0
10;2315234718; 0.9999999888518003; -3.420700184603165E-5; 1.0027306706611451E-4; 1.0522163449583344E-4; -0.16276174461655463; -0.002862293828086053; -0.004519851033301013; 1.870849609375; -1.6708984375; 0.6513671875;0
11;2315251385; 0.9999999710938752; -2.3177182694955611E-4; 2.7167447113812807E-5; 5.7930983800469356E-5; -0.16293786018198858; -0.002754862895666583; -0.004475621850764382; 1.87109375; -1.67236328125; 0.65283203125;0
