DeviceTag:;Xsens DOT 3;;;;;;;;;;;
FirmwareVersion:;1.3.0;;;;;;;;;;;
AppVersion:;2020.1.1;;;;;;;;;;;
Measurement Mode:;Inertial Mode - High Fidelity (with mag);;;;;;;;;;;
StartTime:;2020-07-29 17:14:08.110 +0200;;;;;;;;;;;
© Xsens Technologies B. V. 2005-2020;;;;;;;;;;;;
PacketCounter;SampleTimeFine;dQ_W;dQ_X;dQ_Y;dQ_Z;dV[1];dV[2];dV[3];Mag_X;Mag_Y;Mag_Z;Status
2;2323271121; 0.9999999765956952; 1.9315923702495352E-4; 5.835609566734457E-5; 7.805564869745041E-5; -0.1573099818464507; 0.03608173446048252; 0.026249313498873987; 0.666748046875; -0.282958984375; -0.46484375;0
3;2323287788; 0.9999999600884459; 2.4344830918021643E-4; 1.2422448923821164E-4; 7.158424130193632E-5; -0.15764227064025557; 0.03620036641149553; 0.02607956796350698; 0.6630859375; -0.283935546875; -0.46435546875;0
4;2323304455; 0.9999999613737154; 2.3890885988520072E-4; 1.2514100965049793E-4; 6.719264846921646E-5; -0.15859977082402002; 0.03645689675412615; 0.025314978416034743; 0.666015625; -0.282958984375; -0.460205078125;0
5;2323321122; 0.9999999848501441; 1.0850095172648677E-4; 1.0932429862253734E-4; 8.108916595722661E-5; -0.1584960328381409; 0.036814576357055324; 0.025776394382898353; 0.66455078125; -0.28466796875; -0.4638671875;0
6;2323337789; 0.9999999836828022; -7.52534349818812E-5; 1.3852718766133035E-4; 8.821300434574963E-5; -0.1583756223980457; 0.03665864005441781; 0.02609013769010585; 0.6630859375; -0.282958984375; -0.46484375;0
7;2323354456; 0.9999999639053162; -1.8419899004368245E-4; 1.4766761591217262E-4; 1.2827460204983823E-4; -0.15777231502368386; 0.036069011007450504; 0.026604577828099673; 0.667236328125; -0.281982421875; -0.46484375;0
8;2323371123; 0.9999999729776194; -1.3179811336733183E-4; 9.202216608839021E-5; 1.679462369760243E-4; -0.15802631205928425; 0.03480590996403133; 0.026882723329431518; 0.66552734375; -0.283935546875; -0.4638671875;0
9;2323387790; 0.9999999822676797; 6.034072228172649E-5; 2.1099602629859326E-5; 1.771396178303353E-4; -0.15844387050368675; 0.03411120575591099; 0.026880625608648692; 0.6650390625; -0.282958984375; -0.461181640625;0
10;2323404457; 0.9999999622193396; 2.3871346511322722E-4; -3.5081411671189506E-5; 1.317060958390126E-4; -0.1586236540799662; 0.03426588563370942; 0.02611829937078679; 0.6650390625; -0.282958984375; -0.462890625;0
11;2323421124; 0.9999999556030028; 2.9659139686999403E-4; -2.537753173376123E-5; 1.3546835467059816E-5; -0.1580803827237609; 0.03563313846881726; 0.025715112535979905; 0.66455078125; -0.282958984375; -0.460693359375;0
12;2323437791; 0.9999999762896808; 2.0303546216071666E-4; -9.74576839074537E-6; -7.811695633891391E-5; -0.15783250656379016; 0.036692025324049124; 0.0254314987175867; 0.6650390625; -0.2841796875; -0.46240234375;0
13;2323454458; 0.9999999936131585; 4.809795604154843E-5; 2.6103024169332745E-5; -9.888833010746058E-5; -0.15763014675089582; 0.03744294163554975; 0.02561964022605767; 0.663330078125; -0.28466796875; -0.461181640625;0
14;2323471125; 0.9999999958425083; -6.071425035358846E-5; 4.755474339662725E-5; -4.865500596351602E-5; -0.15745123550600842; 0.037669643520544915; 0.025455548350572864; 0.663330078125; -0.281982421875; -0.462890625;0
