DeviceTag:,Xsens DOT 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-10 12:07:23.720 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1, 1396889716, 0.8970105, -0.021684712, -0.068330705, 0.43615708
2, 1396906383, 0.89662766, -0.022540815, -0.06802402, 0.43694815
3, 1396923050, 0.89643943, -0.022829872, -0.06733027, 0.43742657
4, 1396939717, 0.8964653, -0.023097118, -0.067016296, 0.43740782
5, 1396956384, 0.8965719, -0.023246082, -0.066505894, 0.43725926
6, 1396973051, 0.8967214, -0.022968622, -0.065954395, 0.4370507
7, 1396989718, 0.8968708, -0.022470355, -0.06532403, 0.4368649
8, 1397006385, 0.8970538, -0.022156043, -0.06472805, 0.43659362
9, 1397023052, 0.8972589, -0.021591967, -0.064202234, 0.4362781
10, 1397039719, 0.8973692, -0.020566817, -0.06397534, 0.43613422
11, 1397056386, 0.89745134, -0.02005103, -0.06383218, 0.43600973
12, 1397073053, 0.89761066, -0.02009083, -0.06342005, 0.43574017
13, 1397089720, 0.8977149, -0.019997751, -0.06306233, 0.43558145
14, 1397106387, 0.89771557, -0.019780695, -0.06300757, 0.43559805
15, 1397123054, 0.89773566, -0.019247161, -0.062842414, 0.43560463
16, 1397139721, 0.8978343, -0.01848178, -0.06245572, 0.4354898
17, 1397156388, 0.8977229, -0.017711123, -0.062103584, 0.43580154
18, 1397173055, 0.8971713, -0.016838748, -0.061875563, 0.43700293
19, 1397189722, 0.89683056, -0.016150601, -0.06136216, 0.43780005
20, 1397206389, 0.89700806, -0.015737722, -0.06042666, 0.43758184
21, 1397223056, 0.89700806, -0.01526685, -0.059626345, 0.43770805
22, 1397239723, 0.8969515, -0.01483084, -0.059155088, 0.43790287
23, 1397256390, 0.89736474, -0.014767198, -0.058627404, 0.43712878
24, 1397273057, 0.89709306, -0.014785308, -0.058123693, 0.43775254
25, 1397289724, 0.8970339, -0.015321902, -0.05800015, 0.43787178
26, 1397306391, 0.89693564, -0.016348137, -0.05823884, 0.4380043
27, 1397323058, 0.8966681, -0.017208809, -0.058514033, 0.43848193
28, 1397339725, 0.89681196, -0.017380107, -0.0587651, 0.43814734
29, 1397356392, 0.8968794, -0.016681982, -0.0588925, 0.43801957
30, 1397373059, 0.8974874, -0.015268181, -0.05891989, 0.43682033
31, 1397389726, 0.89734447, -0.0137902675, -0.059039038, 0.43714672
32, 1397406393, 0.89671147, -0.012833434, -0.059131373, 0.43846035
33, 1397423060, 0.8965124, -0.012326596, -0.059314292, 0.4388572
34, 1397439727, 0.89633816, -0.011883233, -0.05966937, 0.4391767
35, 1397456394, 0.89593375, -0.011572979, -0.05989915, 0.43997815
36, 1397473061, 0.89579254, -0.010964159, -0.059722587, 0.4403051
37, 1397489728, 0.8960656, -0.010097096, -0.05960938, 0.43978578
38, 1397506395, 0.89636284, -0.009846073, -0.059664343, 0.43917766
39, 1397523062, 0.8963563, -0.01011684, -0.059745587, 0.4391738
40, 1397539729, 0.89634836, -0.010368038, -0.05975804, 0.4391825
41, 1397556396, 0.8961381, -0.010141511, -0.0598101, 0.4396094
42, 1397573063, 0.89575064, -0.009912699, -0.059785318, 0.44040707
43, 1397589730, 0.8955402, -0.00999529, -0.059753004, 0.44083732
44, 1397606397, 0.89463615, -0.010168231, -0.059714753, 0.4426702
45, 1397623064, 0.8945264, -0.010275351, -0.05970012, 0.4428917
46, 1397639731, 0.8945775, -0.010193487, -0.05972926, 0.44278625
47, 1397656398, 0.8945789, -0.010146551, -0.059920616, 0.4427588
48, 1397673065, 0.89442617, -0.010089355, -0.060000356, 0.44305775
49, 1397689732, 0.8941766, -0.01000608, -0.059966028, 0.44356778
50, 1397706399, 0.8941572, -0.009806388, -0.059887856, 0.443622
51, 1397723066, 0.89410055, -0.009622919, -0.059836153, 0.4437471
52, 1397739733, 0.89404047, -0.009412012, -0.059620794, 0.44390166
