DeviceTag:,Xsens DOT 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Delta quantities,,,,,,,,,,,,,,,,,
StartTime:,2020-08-20 10:17:14.356 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,dQ_W,dQ_X,dQ_Y,dQ_Z,dV[1],dV[2],dV[3]
1, 474768443, 1.0, 1.5303585678339005E-4, -4.9503520131111145E-5, -6.458722054958344E-5, 0.03401327133178711, -0.006632387638092041, 0.16152197122573853
2, 474785110, 1.0, -1.932084560394287E-4, -3.7670135498046875E-5, -6.738677620887756E-5, 0.03392213582992554, -0.005113840103149414, 0.15957540273666382
3, 474801777, 0.9999998211860657, -5.442723631858826E-4, 7.99158588051796E-5, -6.6515058279037476E-6, 0.03323882818222046, -0.0036790966987609863, 0.16208451986312866
4, 474818444, 0.9999999403953552, -2.1693482995033264E-4, 1.1474546045064926E-4, -7.493607699871063E-5, 0.03240621089935303, -0.008770585060119629, 0.1643485426902771
5, 474835111, 0.9999998807907104, 4.1387323290109634E-4, -5.403533577919006E-6, -3.0292756855487823E-4, 0.0336531400680542, -0.009722113609313965, 0.16270172595977783
6, 474851778, 0.9999998211860657, 5.78765757381916E-4, -5.7796016335487366E-5, -2.1896325051784515E-4, 0.03487086296081543, -0.004801511764526367, 0.15913450717926025
7, 474868445, 1.0, -1.189112663269043E-5, 9.128730744123459E-5, -3.398396074771881E-5, 0.03349035978317261, -0.00353926420211792, 0.16042304039001465
8, 474885112, 0.9999998211860657, -5.237814038991928E-4, 1.8983986228704453E-4, -1.2754648923873901E-4, 0.03232598304748535, -0.006627857685089111, 0.16376876831054688
9, 474901779, 0.9999998807907104, -3.927629441022873E-4, 1.8431711941957474E-4, -1.970101147890091E-4, 0.03358793258666992, -0.008459329605102539, 0.16309738159179688
10, 474918446, 1.0, -2.444721758365631E-5, 3.990624099969864E-5, -1.5337206423282623E-4, 0.03435260057449341, -0.008026480674743652, 0.15982812643051147
11, 474935113, 1.0, -2.071075141429901E-5, 4.781503230333328E-5, -1.3732537627220154E-4, 0.03279536962509155, -0.006611824035644531, 0.16089731454849243
12, 474951780, 1.0, -2.4549663066864014E-6, 1.1117663234472275E-4, -1.9150786101818085E-4, 0.033420681953430176, -0.006715595722198486, 0.16284114122390747
13, 474968447, 0.9999999403953552, 1.4168675988912582E-4, 1.226654276251793E-4, -2.1149404346942902E-4, 0.034452974796295166, -0.004727602005004883, 0.1615700125694275
14, 474985114, 1.0, 2.7525238692760468E-5, 5.440693348646164E-5, -4.7223642468452454E-5, 0.035312771797180176, -0.004257798194885254, 0.15995222330093384
15, 475001781, 0.9999999403953552, -2.600476145744324E-4, 5.2493996918201447E-5, 7.883645594120026E-6, 0.033494770526885986, -0.007873058319091797, 0.16287124156951904
16, 475018448, 1.0, -1.6023404896259308E-4, 2.706330269575119E-5, -1.2414157390594482E-4, 0.03334158658981323, -0.009544432163238525, 0.16369467973709106
17, 475035115, 0.9999999403953552, 1.5566963702440262E-4, 1.3118889182806015E-4, -2.4939142167568207E-4, 0.03373229503631592, -0.00846099853515625, 0.16129332780838013
18, 475051782, 0.9999999403953552, 3.337627276778221E-4, 1.4903303235769272E-4, -2.0839646458625793E-4, 0.034258127212524414, -0.006837785243988037, 0.16003882884979248
19, 475068449, 1.0, 3.294181078672409E-5, 9.903404861688614E-5, -9.603984653949738E-5, 0.034739673137664795, -0.004388928413391113, 0.15952008962631226
20, 475085116, 0.9999998211860657, -5.183052271604538E-4, 1.825643703341484E-4, 5.476456135511398E-5, 0.03278183937072754, -0.001689612865447998, 0.1610906720161438
21, 475101783, 0.9999998211860657, -5.540680140256882E-4, 2.6669446378946304E-4, 1.5050824731588364E-4, 0.03318506479263306, -0.006443202495574951, 0.16308611631393433
22, 475118450, 0.9999999403953552, 7.661152631044388E-5, 2.495450899004936E-4, -3.879331052303314E-5, 0.03424382209777832, -0.011762857437133789, 0.16318279504776
23, 475135117, 0.9999998211860657, 6.04323111474514E-4, 8.750241249799728E-5, -1.6012042760849E-4, 0.03447085618972778, -0.00807732343673706, 0.16118848323822021
24, 475151784, 0.9999999403953552, 2.860287204384804E-4, 1.4850590378046036E-4, -3.699958324432373E-5, 0.0337640643119812, -0.0028921961784362793, 0.16095900535583496
25, 475168451, 0.9999999403953552, -1.8659420311450958E-4, 2.659345045685768E-4, 7.043126970529556E-5, 0.03348708152770996, -0.0035061240196228027, 0.16145581007003784
26, 475185118, 0.9999999403953552, -1.7273426055908203E-4, 3.0623842030763626E-4, 3.261212259531021E-5, 0.03359001874923706, -0.009037256240844727, 0.16202569007873535
27, 475201785, 1.0, 7.079634815454483E-5, 1.64165161550045E-4, -6.137415766716003E-5, 0.034069061279296875, -0.008447766304016113, 0.16287225484848022
