DeviceTag:,Xsens DOT 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Delta quantities,,,,,,,,,,,,,,,,,
StartTime:,2020-08-20 10:17:14.354 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,dQ_W,dQ_X,dQ_Y,dQ_Z,dV[1],dV[2],dV[3]
28, 242680396, 0.9999999403953552, -3.5865418612957E-4, -1.244284212589264E-4, 4.473421722650528E-5, 0.012851357460021973, 0.02440619468688965, 0.16382253170013428
29, 242697063, 1.0, -3.116019070148468E-5, -1.0591559112071991E-4, 1.2770015746355057E-4, 0.013609349727630615, 0.01917445659637451, 0.1607322096824646
30, 242713730, 0.9999998807907104, 4.0040072053670883E-4, 5.715619772672653E-5, 2.1991226822137833E-4, 0.014743983745574951, 0.018802225589752197, 0.1590861678123474
31, 242730397, 0.9999997615814209, 6.707655265927315E-4, 1.5086587518453598E-4, 1.2737419456243515E-4, 0.014718472957611084, 0.022811412811279297, 0.16274577379226685
32, 242747064, 0.9999999403953552, 2.4294015020132065E-4, 4.923250526189804E-5, 7.302407175302505E-5, 0.013250768184661865, 0.02822589874267578, 0.1652364730834961
33, 242763731, 1.0, -7.979199290275574E-5, -9.369850158691406E-5, 6.964150816202164E-5, 0.01277923583984375, 0.02386420965194702, 0.1627974510192871
34, 242780398, 0.9999999403953552, 2.3405533283948898E-4, -1.2557581067085266E-4, 1.3613980263471603E-4, 0.013373196125030518, 0.018643081188201904, 0.1596028208732605
35, 242797065, 0.999999463558197, 0.0010521644726395607, -2.277456223964691E-5, 1.2688804417848587E-4, 0.014731228351593018, 0.017199277877807617, 0.1583240032196045
36, 242813732, 0.9999991059303284, 0.0013367431238293648, 9.314063936471939E-5, 9.599048644304276E-5, 0.013981640338897705, 0.025074422359466553, 0.16192597150802612
37, 242830399, 0.9999996423721313, 8.719349279999733E-4, -1.1576898396015167E-4, -1.679733395576477E-5, 0.012508630752563477, 0.027140319347381592, 0.16357624530792236
38, 242847066, 0.9999997615814209, 6.95657916367054E-4, -1.293811947107315E-4, 2.1723099052906036E-5, 0.013253211975097656, 0.02368861436843872, 0.1607499122619629
39, 242863733, 0.9999995827674866, 8.943481370806694E-4, -1.5847384929656982E-5, 7.497798651456833E-5, 0.013769268989562988, 0.022501111030578613, 0.15864461660385132
40, 242880400, 0.9999997019767761, 7.616560906171799E-4, 1.4559924602508545E-4, 9.648501873016357E-5, 0.014016866683959961, 0.024978697299957275, 0.16025429964065552
41, 242897067, 0.9999998807907104, 4.6595465391874313E-4, 6.01327046751976E-5, 1.3868790119886398E-4, 0.011790812015533447, 0.02826070785522461, 0.162697434425354
42, 242913734, 1.0, 8.429680019617081E-5, -7.029063999652863E-5, 1.0326225310564041E-4, 0.013386785984039307, 0.026079297065734863, 0.16168707609176636
43, 242930401, 1.0, 5.238968878984451E-5, -6.329454481601715E-5, 1.260647550225258E-4, 0.013557255268096924, 0.024275362491607666, 0.16050821542739868
44, 242947068, 1.0, 2.165539190173149E-4, 7.536355406045914E-5, 9.514670819044113E-5, 0.014329612255096436, 0.021652817726135254, 0.16191399097442627
45, 242963735, 1.0, 2.0161177963018417E-4, 7.717590779066086E-5, 1.1904817074537277E-4, 0.013633430004119873, 0.027927875518798828, 0.16365563869476318
46, 242980402, 0.9999999403953552, -2.4698488414287567E-4, -1.0994262993335724E-4, 9.386148303747177E-5, 0.0119362473487854, 0.026828408241271973, 0.16361993551254272
47, 242997069, 0.9999999403953552, -9.530782699584961E-5, -2.035200595855713E-4, 1.55656598508358E-4, 0.012704193592071533, 0.022139012813568115, 0.1610555648803711
48, 243013736, 0.9999999403953552, 2.1443236619234085E-4, -4.921481013298035E-5, 2.365047112107277E-4, 0.014149725437164307, 0.021498501300811768, 0.1610267162322998
49, 243030403, 0.9999998807907104, 4.0554720908403397E-4, -1.1884607374668121E-4, 2.0311493426561356E-4, 0.012849092483520508, 0.024477481842041016, 0.16199851036071777
