DeviceTag:;Xsens DOT 2;;;;;;;;;;;
FirmwareVersion:;1.3.0;;;;;;;;;;;
AppVersion:;2020.1.1;;;;;;;;;;;
Measurement Mode:;Inertial Mode - High Fidelity (with mag);;;;;;;;;;;
StartTime:;2020-07-29 17:11:18.835 +0200;;;;;;;;;;;
© Xsens Technologies B. V. 2005-2020;;;;;;;;;;;;
PacketCounter;SampleTimeFine;dQ_W;dQ_X;dQ_Y;dQ_Z;dV[1];dV[2];dV[3];Mag_X;Mag_Y;Mag_Z;Status
2;2138825387; 0.9999990770270741; 0.0011738897664735348; -6.037064200562215E-4; -3.216618943534255E-4; -0.1644882103736623; -0.005894176783095589; 0.02812936993110422; 0.504150390625; -0.50048828125; -0.247802734375;0
3;2138842054; 0.9999988873336194; 0.00133108088057865; -6.266726745258467E-4; -2.466507076752875E-4; -0.16454088265294842; -0.007047651199106865; 0.028633408001800923; 0.4990234375; -0.501953125; -0.251708984375;0
4;2138858721; 0.9999984143751919; 0.0016753730176210513; -5.88839891899673E-4; -1.3281541882453202E-4; -0.16371859408033662; -0.007236428394887166; 0.02873666344549915; 0.5009765625; -0.502685546875; -0.25341796875;0
5;2138875388; 0.9999980754177287; 0.0018891614113524802; -5.265661180457182E-4; -5.438863776483644E-5; -0.16370166415643858; -0.005332811945332172; 0.029163836031806334; 0.5; -0.50341796875; -0.255126953125;0
6;2138892055; 0.9999983200174855; 0.0017630799504824157; -5.000408536927071E-4; -3.83463113709584E-5; -0.16357524619387193; -0.0024988538151933005; 0.02828798588831431; 0.499755859375; -0.504150390625; -0.2578125;0
7;2138908722; 0.9999989429725781; 0.001360810090846043; -5.091675853226286E-4; -5.475393356420972E-5; -0.1636158074976355; -1.5177487192064888E-4; 0.02807064675485351; 0.499755859375; -0.50830078125; -0.257080078125;0
8;2138925389; 0.9999995240438394; 8.100100953810641E-4; -5.395409419536868E-4; -6.849315286803354E-5; -0.1634762335040138; 0.0015701104053083247; 0.02801092643615718; 0.500732421875; -0.510498046875; -0.25537109375;0
9;2138942056; 0.9999998165328764; 2.619855457567377E-4; -5.378992707165686E-4; -9.466869532363116E-5; -0.1627666489481205; 0.002054215085497012; 0.028061397616913116; 0.498291015625; -0.50830078125; -0.261474609375;0
10;2138958723; 0.9999998275635918; -1.8267900732882314E-4; -5.488617805370634E-4; -1.0125172932909376E-4; -0.16304463355775928; 0.001826214199643069; 0.028082089411243277; 0.498046875; -0.5068359375; -0.260009765625;0
11;2138975390; 0.999999803427911; -3.6157265613540046E-4; -5.081324762322427E-4; -6.489021870186713E-5; -0.16278117131164538; 5.404915384692403E-4; 0.027920742960962506; 0.496826171875; -0.50634765625; -0.255859375;0
12;2138992057; 0.9999998432232805; -3.871727724610863E-4; -4.042680034792579E-4; -1.4766178486239068E-5; -0.16177637009732745; 5.194316765626383E-4; 0.028105286137221783; 0.497802734375; -0.505615234375; -0.260986328125;0
13;2139008724; 0.9999997912071306; -5.63555198228205E-4; -3.156077002501312E-4; -1.957072248311154E-5; -0.16117764071421023; 0.0011841921273751093; 0.028213120729390476; 0.49853515625; -0.50341796875; -0.2626953125;0
14;2139025391; 0.9999996302512262; -8.124806197634671E-4; -2.7789430468139203E-4; -4.634014281771487E-5; -0.16129080083789582; 3.1907398266129046E-4; 0.028523275513992273; 0.49755859375; -0.5048828125; -0.25927734375;0
15;2139042058; 0.9999994857415215; -9.60622257624999E-4; -3.065007676288645E-4; -1.0853041165429651E-4; -0.1624498898807945; -0.001233044473305779; 0.028725540422296608; 0.497802734375; -0.501953125; -0.2607421875;0
16;2139058725; 0.9999995023482493; -9.490491998275785E-4; -2.810213706733456E-4; -1.250434302989059E-4; -0.16249257324649555; -0.0020515777548528354; 0.02848765633684917; 0.49951171875; -0.50048828125; -0.262939453125;0
17;2139075392; 0.9999994662584195; -9.857440459577482E-4; -2.477174579620378E-4; -1.85546794745424E-4; -0.16338300608455292; -0.0015615869888575395; 0.02864159987824929; 0.498779296875; -0.497314453125; -0.257080078125;0
18;2139092059; 0.9999993922076759; -0.001059533630596965; -2.308408313320687E-4; -1.9921163373411155E-4; -0.16389942599204457; -0.0021003376348829265; 0.028358067743178807; 0.498291015625; -0.496826171875; -0.262939453125;0
19;2139108726; 0.9999994764983066; -9.776318866616118E-4; -2.321959477528668E-4; -1.9319432962463387E-4; -0.16398691448216907; -0.0024147894487681343; 0.028630653667990346; 0.49755859375; -0.49169921875; -0.261474609375;0
